Feature,35030,39086,46228,46229
高度(mm),1280,1295,1280,1295
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱
面部识别,-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4712,4715,4712,4715
长*宽*高(mm),4712*1968*1280,4715*1970*1295,4712*1968*1280,4715*1970*1295
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-
道路交通标识识别,-,-,-,-
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
运动风格座椅,●,●,●,●
运动外观套件,●,●,●,●
轴距(mm),2805,2805,2805,2805
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),2,2,2,2
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车
车身结构_x,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,-,-,-,-
车窗防夹手功能,●,●,●,●
车型名称,阿斯顿·马丁DBS 2019款 DBS Superleggera V12 Coupe,阿斯顿·马丁DBS 2019款 DBS Superleggera V12 Volante,阿斯顿·马丁DBS 2020款 DBS Superleggera V12 Coupe,阿斯顿·马丁DBS 2020款 DBS Superleggera V12 Volante
车内香氛装置,-,-,-,-
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-
触摸式阅读灯,-,-,-,-
被动行人保护,-,-,-,-
行程(mm),-,-,-,-
行李厢容积(L),-,-,-,-
行李厢12V电源接口,-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动泊车入位,-,-,-,-
自动头灯,●,●,●,●
膝部气囊,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车,跑车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-
空气悬架,-,-,-,-
疲劳驾驶提示,-,-,-,-
电磁感应悬架,-,-,-,-
电池预加热,-,-,-,-
电动扰流板,-,-,-,-
电动后备厢位置记忆,-,-,-,-
电动后备厢,-,-,-,-
电动可调踏板,-,-,-,-
环保标准_y,欧VI,欧VI,国VI,国VI
环保标准_x,欧VI,欧VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
涉水感应系统,-,-,-,-
油箱容积(L),-,-,-,-
气缸数(个),12,12,12,12
气缸排列形式,V,V,V,V
每缸气门数(个),4,4,4,4
最高车速(km/h),340,340,-,-
最小离地间隙(mm),-,-,-,-
最大马力(Ps),725,725,725,725
最大扭矩转速(rpm),1800-5000,1800-5000,1800-5000,1800-5000
最大扭矩(N·m)_y,900,900,900,900
最大扭矩(N·m)_x,900,900,900,900
最大功率转速(rpm),6500,6500,6500,6500
最大功率(kW)_y,533,533,533,533
最大功率(kW)_x,533,533,533,533
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘换挡,●,●,●,●
方向盘加热,-,-,-,-
整车质保,待查,待查,待查,待查
整备质量(kg),-,-,-,-
整体主动转向系统,-,-,-,-
排量(mL),-,-,-,-
挡位个数,8,8,8,8
手势控制,-,-,-,-
感应后备厢,-,-,-,-
座位数(个),4,4,4,4
并线辅助,-,-,-,-
工信部综合油耗(L/100km),-,14,-,-
尾门玻璃独立开启,-,-,-,-
导航路况信息显示,-,-,-,-
宽度(mm),1968,1970,1968,1970
实测油耗(L/100km),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
官方0-100km/h加速(s),3.4,3.6,-,-
大灯高度可调,●,●,●,●
大灯清洗装置,-,-,-,-
大灯延时关闭,●,●,●,●
夜视系统,-,-,-,-
多功能方向盘,●,●,●,●
备胎规格,未知,未知,未知,未知
后风挡遮阳帘,-,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1645,1645,1645,1645
后轮胎规格,305/30 R21,305/30 R21,305/30 R21,305/30 R21
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排控制多媒体,-,-,-,-
后排座椅防下滑气囊,-,-,-,-
后排座椅电动调节,-,-,-,-
后排座椅电动放倒,-,-,-,-
后排小桌板,-,-,-,-
后排安全带式气囊,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后排中央安全气囊,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,-,-,-,-
后制动器类型,陶瓷通风盘式,陶瓷通风盘式,陶瓷通风盘式,陶瓷通风盘式
可变转向比,-,-,-,-
可加热喷水嘴,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●,●
发动机特有技术,-,-,-,-
发动机型号,-,-,-,-
发动机启停技术,●,●,●,●
发动机,5.2T 725马力 V12,5.2T 725马力 V12,5.2T 725马力 V12,5.2T 725马力 V12
压缩比,9.3,9.3,9.3,9.3
厂商指导价(元),366.80万,376.80万,373.80万,383.80万
厂商,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁
助力类型,电动助力,电动助力,电动助力,电动助力
副驾驶座垫式气囊,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-
前轮距(mm),1665,1665,1665,1665
前轮胎规格,265/35 R21,265/35 R21,265/35 R21,265/35 R21
前悬架类型,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 
