Feature,1003487,1003488,1003489,1003490,1003491,1003492,1003493,1003494,1003495,1003496,1003497,1003498,1003499,1003500,1003501,1003502,1003503,1003504,1003505,1003506,1003507,1003508,1003509,1003510,1003511,1003512,1003513,1003514,1004563,1004564,1006802,1006803,1006804,1006805,1006806,1006807,1006808,1006809
高度(mm),1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1680,1680,1680,1680,1815,1815,1745,1745,1745,1745,1745,1745,1745,1745
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5555,5555,5555,5235,5235,5235,5235,5235,5235,5555,5555,5555,5235,5235,5235,5235,5235,5235,5555,5235,5235,5555,5235,5235,5170,5170,5525,5525,5160,5160,5235,5555,5235,5555,5235,5555,5235,5555
长*宽*高(mm),5555×1760×1745,5555×1760×1745,5555×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5555×1760×1745,5555×1760×1745,5555×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5235×1760×1745,5555×1760×1745,5235×1760×1745,5235×1760×1745,5555×1760×1745,5235×1760×1745,5235×1760×1745,5170×1750×1680,5170×1750×1680,5525×1750×1680,5525×1750×1680,5160×1755×1815,5160×1755×1815,5235×1750×1745,5555×1750×1745,5235×1750×1745,5555×1750×1745,5235×1750×1745,5555×1750×1745,5235×1750×1745,5555×1750×1745
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
