Feature,52638,52710,52711,52712,52713,55252,55253,55254,56560,56561,56562,56563,56564,56684,56971
高度(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
驾驶辅助影像,-,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
风阻系数(Cd),0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432
长*宽*高(mm),4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560,4432*1833*1560
钥匙类型,,,,,,,,,,,,,,,
遥控泊车,-,-,-,-,●,-,-,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,●,-,-,●,-,●,-,●,●,-,●
透明底盘/540度影像,-,-,-,●,●,-,●,●,-,●,●,●,●,-,●
远程启动功能,-,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,-,,-,-,,-,,-,,,-,
