Feature,1012163,1013451,1013452,1014252,1014253,1014254,1014779,1014794,1014795,1014796
高度(mm),2060,2670,2660,2720,2060,2660,2150,2730,2460,2735
驾驶辅助影像,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),5760,5760,5760,5845,5845,5845,5995,5995,5995,5995
长*宽*高(mm),5760×1850×2060,5760×1800×2670,5760×1850×2660,5845×1800×2720,5845×1850×2060,5845×1850×2660,5995*1850*2150,5995*1810*2730,5995*1850*2460,5995*1810*2735
钥匙类型,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),3600,3600,3600,3600,3600,3600,3150,3150,3150,3150
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2,2,2
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车型名称,远程锋锐 2022款 F3E栏板车亿纬61.8kWh,远程锋锐 2022款 F3E厢式车亿纬61.8kWh,远程锋锐 2022款 F3E仓栅车亿纬61.8kWh,远程锋锐 2022款 F3E厢式车宁德55.7kWh,远程锋锐 2022款 F3E栏板车宁德55.7kWh,远程锋锐 2022款 F3E仓栅车宁德55.7kWh,2022款 V5E栏板车宁德66.8kWh,2022款 V5E冷藏车宁德66.8kWh,2022款 V5E仓栅车宁德66.8kWh,2022款 V5E厢式车宁德66.8kWh
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3700x1750x360,3700x1750x1700,3700x1750x360,3700x1750x1700,3700x1750x360,3700x1750x360,3980x1750x360,3820x1650x1650,3980x1750x1495,3950x1850x1750
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),61.8,61.8,61.8,55.7,55.7,55.7,66.8,66.8,66.8,66.8
电池充电时间,-,-,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,-,-,-,-
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),-,-,-,-,-,-,255,255,255,255
电动机总功率(kW),90,90,90,80,80,80,90,90,90,90
电动机(Ps),122,122,122,109,109,109,122,122,122,122
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),1455,1315,1365,1365,1485,1365,2050,1550,1940,1940
最大满载质量(kg),3495,3495,3495,3495,3495,3495,-,-,-,-
最大扭矩(N·m),-,-,-,-,-,-,255,255,255,255
