Feature,46044,46066,46067,49133
高度(mm),1440,1435,1440,1440
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-
陡坡缓降,-,-,-,-
限滑差速器/差速锁,,-,-,-
长度(mm),4710,4710,4710,4710
长*宽*高(mm),4710*1840*1440,4710*1840*1435,4710*1840*1440,4710*1840*1440
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,自然吸气,涡轮增压,自然吸气,自然吸气
近光灯光源,,,,
运动风格座椅,●,-,●,-
运动外观套件,●,-,●,-
轴距(mm),2800,2800,2800,2800
轮圈材质,,,,
车门数(个),4,4,4,4
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,雷克萨斯IS 2021款 350 F SPORT 美国版,雷克萨斯IS 2021款 300 美国版,雷克萨斯IS 2021款 350 AWD F SPORT 美国版,雷克萨斯IS 2021款 300 AWD 美国版
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
语音识别控制系统,,,,
行车电脑显示屏幕,,,,
行程(mm),-,86,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动泊车入位,○,○,○,○
自动头灯,●,●,●,●
膝部气囊,●,●,●,●
能源类型,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,86,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车
简称,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
疲劳驾驶提示,-,-,-,-
电动座椅记忆功能,,,,
电动后备厢,-,-,-,-
环保标准_y,-,-,-,-
环保标准_x,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●
液晶仪表尺寸,-,-,-,-
油箱容积(L),66,66,66,66
气缸数(个),6,4,6,6
气缸排列形式,V,L,V,V
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,-,-
最大马力(Ps),316,245,316,264
最大扭矩转速(rpm),4800,1650-4400,4800,2000–4800
最大扭矩(N·m)_y,380,350,380,320
最大扭矩(N·m)_x,380,350,380,320
最大功率转速(rpm),6600,5800,6600,6600
最大功率(kW)_y,232,180,232,194
最大功率(kW)_x,232,180,232,194
最大净功率(kW),-,-,-,-
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,●,●,●,●
方向盘材质,,,,
方向盘换挡,●,●,●,●
方向盘加热,●,○,●,○
方向盘位置调节,,,,
整车质保,-,-,-,-
整备质量(kg),-,1685,1760,1745
排量(mL),-,1998,-,-
挡位个数,8,8,6,6
扬声器数量,,,,
扬声器品牌名称,,,,
手机无线充电功能,-,-,-,-
手机互联/映射,,,,
感应雨刷功能,,,,
座椅材质,,,,
座位数(个),5,5,5,5
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,○,○,○,○
宽度(mm),1840,1840,1840,1840
官方0-100km/h加速(s),-,-,-,-
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,全时四驱,全时四驱
后雨刷,-,-,-,-
后轮距(mm),-,-,-,-
后轮胎规格,265/35 R19,235/45 R18,265/35 R19,235/45 R18
后排独立空调,-,-,-,-
后排杯架,●,-,●,-
后排座椅放倒形式,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●
后备厢容积(L),-,-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
可变悬架功能,,-,,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●,●
发动机特有技术,双VVT-i,双VVT-i,双VVT-i,双VVT-i
发动机布局,-,-,-,-
发动机型号,-,8AR-FTS,-,-
发动机启停技术,-,-,-,-
发动机,3.5L 316马力 V6,2.0T 245马力 L4,3.5L 316马力 V6,3.5L 264马力 V6
压缩比,11.8,10,11.8,11.8
厂商指导价(元),0.00万,0.00万,0.00万,0.00万
厂商,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯
卫星导航系统,○,○,○,○
助力类型,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-
副座椅调节方式,,,,
前轮距(mm),-,-,-,-
前轮胎规格,235/40 R19,235/45 R18,235/40 R19,235/45 R18
前排座椅功能,,,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,●,-,●,-
倒车车侧预警系统,●,●,●,●
供油方式,直喷,混合喷射,直喷,直喷
主座椅调节方式,,,,
主动刹车/主动安全系统,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
中央差速器结构,-,-,待查,待查
上市时间,-,-,-,-
上坡辅助,●,●,●,●
USB/Type-C接口数量,,,,
OTA升级,-,-,-,-
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ABS防抱死,●,●,●,●
