,34143,34144,34145,34146,34155,35853,35856,35857,35858,35859
主动降噪,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-
座椅材质,织物,仿皮,仿皮,仿皮,皮/织物混搭,织物,仿皮,仿皮,仿皮,皮/织物混搭
运动风格座椅,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,●,●,●,-,-,●,●,●
前/后排座椅加热,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
GPS导航系统,○,○,○,○,●,○,○,○,○,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),单碟CD,(选装单碟CD),(选装单碟CD),(选装单碟CD),(选装单碟CD),单碟CD
扬声器品牌,(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿)
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭
近光灯,卤素,卤素,LED,LED,LED,卤素,卤素,LED,LED,LED
远光灯,卤素,卤素,LED,LED,LED,卤素,卤素,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
车内氛围灯,○,○,○,●,-,○,○,○,●,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●
后视镜记忆,○,○,●,●,●,○,○,●,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,●,●,●,●,●,●,●
空调控制方式,手动●,手动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,●,●,●,-,-,●,●,●
温度分区控制,-,-,●,●,●,-,-,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车型名称,奔驰B级 2018款 B 180,奔驰B级 2018款 B 200 动感型,奔驰B级 2018款 B 200 时尚型,奔驰B级 2018款 B 200 豪华型,奔驰B级 2018款 B 260 运动型,奔驰B级 2019款 B 180,奔驰B级 2019款 B 200 动感型,奔驰B级 2019款 B 200 时尚型,奔驰B级 2019款 B 200 豪华型,奔驰B级 2019款 B 260 运动型
厂商指导价(元),22.58万,24.38万,26.28万,28.38万,33.98万,22.58万,24.38万,26.28万,28.38万,33.98万
厂商,奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口)
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2018.04,2018.04,2018.04,2018.04,2018.04,2018.09,2018.09,2018.09,2018.09,2018.09
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,90,115,115,115,155,90,115,115,115,155
最大扭矩(N·m)_x,200,250,250,250,350,200,250,250,250,350
发动机,1.6T 122马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,2.0T 211马力 L4,1.6T 122马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,2.0T 211马力 L4
变速箱,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长*宽*高(mm),4398*1786*1547,4398*1786*1551,4398*1786*1551,4393*1786*1555,4439*1786*1541,4398*1786*1547,4398*1786*1551,4398*1786*1551,4439*1786*1541,4439*1786*1541
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),200,220,220,220,240,200,220,220,220,240
官方0-100km/h加速(s),9.1,8.3,8.3,8.3,6.9,9.1,8.3,8.3,8.3,6.9
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.3,6.4,6.4,6.4,6.6,6.3,6.4,6.4,6.4,6.6
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),4398,4398,4398,4393,4439,4398,4398,4398,4439,4439
宽度(mm),1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
高度(mm),1547,1551,1551,1555,1541,1547,1551,1551,1541,1541
轴距(mm),2699,2699,2699,2699,2699,2699,2699,2699,2699,2699
前轮距(mm),-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5
油箱容积(L),50,50,50,50,50,50,50,50,50,50
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-
发动机型号,270 910,270 910,270 910,270 910,270 920,270 910,270 910,270 910,270 910,270 920
排量(mL),1595,1595,1595,1595,1991,1595,1595,1595,1595,1991
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
压缩比,-,10.3,10.3,10.3,9.8,-,10.3,10.3,10.3,9.8
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),122,156,156,156,211,122,156,156,156,211
最大功率(kW)_y,90,115,115,115,155,90,115,115,115,155
最大功率转速(rpm),5000,5300,5300,5300,5500,5000,5300,5300,5300,5500
最大扭矩(N·m)_y,200,250,250,250,350,200,250,250,250,350
最大扭矩转速(rpm),1250-4000,1250-4000,1250-4000,1250-4000,1200-4000,1250-4000,1250-4000,1250-4000,1250-4000,1200-4000
发动机特有技术,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V
挡位个数,7,7,7,7,7,7,7,7,7,7
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,205/55 R16,225/45 R17 ,225/45 R17 ,225/40 R18,225/40 R18,205/55 R16,225/45 R17 ,225/45 R17 ,225/40 R18,225/40 R18
后轮胎规格,205/55 R16,225/45 R17 ,225/45 R17 ,225/40 R18,225/40 R18,205/55 R16,225/45 R17 ,225/45 R17 ,225/40 R18,225/40 R18
备胎规格,无,无,无,无,无,无,无,无,无,无
