,1002404,1003784,1003785,1005185,1005186
蓝牙/车载电话,-,-,-,-,-
车载电视,-,-,-,-,-
后排液晶屏,-,-,-,-,-
220V/230V电源,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-
扬声器品牌,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动头灯,-,-,-,-,-
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
前雾灯,●,-,●,●,●
大灯高度可调,-,-,-,-,-
大灯清洗装置,-,-,-,-,-
车内氛围灯,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
车窗防夹手功能,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-
后视镜电动调节,-,-,-,-,-
后视镜加热,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-
后视镜记忆,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-
后雨刷,-,-,-,-,-
感应雨刷,-,-,-,-,-
空调控制方式,手动●,-,手动●,手动●,-
后排独立空调,-,-,-,●,-
后座出风口,-,-,-,●,-
温度分区控制,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,成功V1 2014款 1.2L 舒适型,成功V1 2015款 1.2L 基本型,成功V1 2015款 1.2L 标准型,成功V1 2017款 1.3L舒适型HH413Q/P-A,成功V1 2017款 1.3L基本型HH413Q/P-A
厂商指导价(元),4.00万,3.68万,3.88万,3.58万,3.28万
厂商,成功汽车,成功汽车,成功汽车,成功汽车,成功汽车
级别,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2014.08,2015.12,2015.12,2017.03,2017.03
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-
发动机,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.3L 87马力 L4,1.3L 87马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4010×1620×1915,4010×1620×1915,4010×1620×1915,4010×1620×1915,4010×1620×1915
车身结构_x,客车,客车,客车,客车,客车
最高车速(km/h),130,130,130,130,130
工信部综合油耗(L/100km),7.4,7.4,7.4,-,-
整车质保,三年或8万公里,三年或8万公里,三年或8万公里,三年或8万公里,三年或8万公里
长度(mm),4010,4010,4010,4010,4010
宽度(mm),1620,1620,1620,1620,1620
高度(mm),1915,1915,1915,1915,1915
轴距(mm),2700,2700,2700,2700,2700
前轮距(mm),1390,1390,1390,1390,1390
后轮距(mm),1410,1410,1410,1410,1410
最小离地间隙(mm),160,160,160,160,160
整备质量(kg),1160,1160,1160,1160,1160
车身结构_y,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5
座位数(个),5/7,5/7,5/7,5/7,5/7
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),40,40,40,40,40
货箱尺寸(mm),-,-,-,-,-
最大载重质量(kg),-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,无助力,无助力,无助力,无助力,无助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT
后轮胎规格,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT,165/70 R14LT
发动机型号,-,-,-,HH413Q/P-A,HH413Q/P-A
排量(mL),1206,1206,1206,1300,1300
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L
气缸数(个),4,4,4,4,4
每缸气门数(个),4,4,4,4,4
压缩比,9.8,9.8,9.8,10,10
配气机构,DOHC,DOHC,DOHC,未知,未知
缸径(mm),69.7,69.7,69.7,-,-
行程(mm),79,79,79,-,-
最大马力(Ps),86,86,86,87,87
最大功率(kW)_y,63,63,63,64,64
最大功率转速(rpm),6000,6000,6000,6000,6000
最大扭矩(N·m)_y,108,108,108,127,127
最大扭矩转速(rpm),4000-4400,4000-4400,4000-4400,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝
缸体材料,铁,铁,铁,未知,未知
环保标准,国IV,国IV,国IV,国V,国V
电机类型,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-
驱动电机数,-,-,-,-,-
电机布局,-,-,-,-,-
电池类型,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-
电池容量(kWh),-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-
电池组质保,-,-,-,-,-
电池充电时间,-,-,-,-,-
快充电量(%),-,-,-,-,-
