Feature,30961,30962,30963,30964,30965,34703,34704
高度(mm),1655,1655,1655,1655,1655,1655,1655
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
防紫外线玻璃,●,●,●,●,●,●,●
长度(mm),4629,4629,4629,4629,4629,4629,4629
长*宽*高(mm),4629*1898*1655,4629*1898*1655,4629*1898*1655,4629*1898*1655,4629*1898*1655,4629*1898*1655,4629*1898*1655
铝合金轮圈,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-
远光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气
运动风格座椅,-,-,-,●,-,-,-
运动外观套件,-,-,-,●,-,-,-
轴距(mm),2807,2807,2807,2807,2807,2807,2807
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,○,○,●,-,-
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,○,○,○,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车
车型名称,奥迪Q5 2017款 Plus 40 TFSI 进取型,奥迪Q5 2017款 Plus 40 TFSI 技术型,奥迪Q5 2017款 Plus 40 TFSI 舒适型,奥迪Q5 2017款 Plus 40 TFSI 动感型,奥迪Q5 2017款 Plus 40 TFSI 豪华型,奥迪Q5 2018款 典藏版 40 TFSI 进取型,奥迪Q5 2018款 典藏版 40 TFSI 技术型                      
车内空气调节/花粉过滤,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
