Feature,1000355,1000356,1000357,1000358,1000359,1000360,1000361,1000362,1001043,1001044,1001045,1001046,1001047,1001048,1001049,1001050
高度(mm),1690,1690,1690,1690,1690,1690,1690,1690,1760,1760,1760,1760,1760,1760,1760,1760
驱动方式,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5350,5350,5350,5350,5350,5350,5350,5350,5560,5560,5560,5560,5560,5560,5560,5560
长*宽*高(mm),5350×1725×1690,5350×1725×1690,5350×1725×1690,5350×1725×1690,5350×1725×1690,5350×1725×1690,5350×1725×1690,5350×1725×1690,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760,5560×1850×1760
配气机构,未知,未知,未知,未知,未知,未知,SOHC,SOHC,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3380,3380,3380,3380,3380,3380,3380,3380,3500,3500,3500,3500,3500,3500,3500,3500
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,大柴神 2009款 3.2T 两驱柴油豪华型CA4DC2-10E3,大柴神 2009款 2.8T 两驱柴油豪华型4JB1T1,大柴神 2009款 2.8T 四驱柴油豪华型4JB1T1,大柴神 2009款 2.2L 两驱汽油豪华型JM491Q-ME,大柴神 2009款 3.2T 两驱柴油豪华型CA4DC2-10E3V,大柴神 2009款 2.4T 两驱柴油豪华型4D25,大柴神 2009款 2.0L 两驱汽油豪华型4G63S4M,大柴神 2009款 2.4L 四驱汽油豪华型4G69S4N,大柴神 2012款 2.4L 至尊版 两驱标准型4G69S4N,大柴神 2012款 3.2T 至尊版 两驱标准型CA4DC2-10E4,大柴神 2012款 2.4L 至尊版 两驱豪华型4G69S4N,大柴神 2012款 3.2T 至尊版 两驱豪华型CA4DC2-10E4,大柴神 2012款 2.4L 至尊版 四驱标准型4G69S4N,大柴神 2012款 3.2T 至尊版 四驱标准型CA4DC2-10E4,大柴神 2012款 2.4L 至尊版 四驱豪华型4G69S4N,大柴神 2012款 3.2T 至尊版 四驱豪华型CA4DC2-10E4
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1715x1455x475,1715x1455x475,1715x1455x475,1715x1455x475,1715x1455x475,1715x1455x475,1715x1455x475,1715x1455x475,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530,1805x1590x530
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,汽油,柴油,柴油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,铝,铝,铝,未知,铝,未知,铝,未知,铝,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,铁,铁,铁,未知,铁,未知,铁,未知,铁,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国III,国III,国III,国IV,国III,国III,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
环保标准_x,国III,国III,国III,国IV,国III,国III,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,92号,0号,0号,92号,92号,92号,0号,92号,0号,92号,0号,92号,0号
燃料形式,柴油,柴油,柴油,汽油,柴油,柴油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,4,4,未知,4,未知,4,未知,4,未知
最高车速(km/h),120,120,120,130,120,120,130,130,130,130,130,130,130,130,130,130
最小离地间隙(mm),200,200,200,200,200,200,200,200,220,220,220,220,220,220,220,220
最大马力(Ps),103,102,102,103,109,88,122,143,143,107,143,107,143,107,143,107
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,245,235,235,193,245,225,175,200,200,245,200,245,200,245,200,245
最大扭矩(N·m)_x,245,235,235,193,245,225,175,200,200,245,200,245,200,245,200,245
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,76,75,75,76,80,65,90,105,105,79,105,79,105,79,105,79
最大功率(kW)_x,76,75,75,76,80,65,90,105,105,79,105,79,105,79,105,79
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里
整备质量(kg),1780,1740,1740,1580,1740,1740,1620,1725,1880,2150,1880,2150,1880,2150,1880,2150
排量(mL),3168,2771,2771,2237,3168,2433,1997,2378,2378,3168,2378,3168,2378,3168,2378,3168
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1725,1725,1725,1725,1725,1725,1725,1725,1850,1850,1850,1850,1850,1850,1850,1850
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,1560,1560,1560,1560,1560,1560,1560,1560
后轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,CA4DC2-10E3,4JB1T1,4JB1T1,JM491Q-ME,CA4DC2-10E3V,4D25,4G63S4M,4G69S4N,4G69S4N,CA4DC2-10E4,4G69S4N,CA4DC2-10E4,4G69S4N,CA4DC2-10E4,4G69S4N,CA4DC2-10E4
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,3.2T 103马力 L4,2.8T 102马力 L4,2.8T 102马力 L4,2.2L 103马力 L4,3.2T 109马力 L4,2.4T 88马力 L4,2.0L 122马力 L4,2.4L 143马力 L4,2.4L 143马力 L4,3.2T 107马力 L4,2.4L 143马力 L4,3.2T 107马力 L4,2.4L 143马力 L4,3.2T 107马力 L4,2.4L 143马力 L4,3.2T 107马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),7.58万,7.38万,8.98万,6.28万,7.18万,6.48万,6.98万,8.78万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万,7.98万~12.98万
厂商,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前轮距(mm),-,-,-,-,-,-,-,-,1540,1540,1540,1540,1540,1540,1540,1540
前轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-,-,-,-,-,○,○,●,●,●,●,●,●
供油方式,直喷,直喷,直喷,多点电喷,直喷,直喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
