Feature,30781,32966,33022,33097,33098,33099,33100,35483,35485,35486
高度(mm),1465,1465,1465,1465,1465,1465,1465,1465,1465,1465
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-
长度(mm),4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
长*宽*高(mm),4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465,4780*1825*1465
铝合金轮圈,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,-,●,●,●,●,●,●
远程启动,●,-,-,-,-,-,-,-,-,-
远光灯,LED,卤素,LED,卤素,LED,卤素,卤素,卤素,卤素,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,LED,卤素,LED,卤素,卤素,卤素,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,-,-,-,-,-,-,-,-,-
车载空气净化器,●,-,●,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,-,-,-,-,-,-,-,-,-
车窗一键升降,主驾驶位,-,-,-,-,-,-,-,-,-
车型名称,睿骋CC 2018款 1.5T 自动尊雅型,睿骋CC 2018款 1.5T 手动典雅型,睿骋CC 2018款 1.5T 自动智雅型,睿骋CC 2018款 1.5T 手动舒雅型,睿骋CC 2018款 1.5T 手动豪雅型,睿骋CC 2018款 1.5T 自动典雅型,睿骋CC 2018款 1.5T 自动豪雅型,睿骋CC 2018款 1.5T 手动典雅型星空版,睿骋CC 2018款 1.5T 自动典雅型星空版,睿骋CC 2018款 1.5T 自动豪雅型光芒版
