Feature,46832,47113,47311,49471,49472,50088,50123,50124,50164,50165,50166,50167,52937,52938,55213,58642,59966,59967,59968,59969,62819,62820
高度(mm),1730,1730,1730,1730,1730,1720,1720,1720,1720,1720,1720,1720,1730,1730,1730,1730,1730,1730,1730,1730,1720,1720
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,单电机,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,●,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4653,4653,4653,4653,4653,4645,4645,4645,4645,4645,4645,4645,4683,4683,4653,4653,4653,4653,4653,4683,4645,4645
长*宽*高(mm),4653*1886*1730,4653*1886*1730,4653*1886*1730,4653*1886*1730,4653*1886*1730,4645*1860*1720,4645*1860*1720,4645*1860*1720,4645*1860*1720,4645*1860*1720,4645*1860*1720,4645*1860*1720,4683*1886*1730,4683*1886*1730,4653*1886*1730,4653*1886*1730,4653*1886*1730,4653*1886*1730,4653*1886*1730,4683*1886*1730,4645*1860*1720,4645*1860*1720
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,●,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,●
道路交通标识识别,-,●,-,●,●,-,-,●,-,-,●,●,●,●,-,●,-,●,-,●,-,●
透明底盘/540度影像,●,●,-,●,●,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
远程启动功能,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,,-,,,-,-,,-,-,,,,,-,,-,,-,,-,
轴距(mm),2738,2738,2738,2738,2738,2680,2680,2680,2680,2680,2680,2680,2738,2738,2738,2738,2738,2738,2738,2738,2680,2680
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●
