Feature,1002004,1002005,1002006,1002007,1002008,1002009,1002429,1002430,1002431,1002432,1002433
高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
驱动电机数,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
长*宽*高(mm),4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900,4030×1620×1900
铝合金轮圈,○,-,○,●,○,○,-,-,-,-,-
配气机构,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,-,-,-,●,-,-,-,-,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,福家 2014款 1.0L-6400B标准型,福家 2014款 1.3L-6400A标准型,福家 2014款 1.3L-6400A舒适型,福家 2014款 1.3L-6400A豪华型,福家 2014款 1.3L-6402A标准型CNG,福家 2014款 1.3L-6402A舒适型CNG,福家 2014款 1.3L厢式货运车,福家 2014款 电动厢式运输车标准型,福家 2014款 电动客车标准型,福家 2014款 1.3L厢式运输车标准型CNG,福家 2014款 1.3L厢式运输车舒适型CNG
