Feature,29177,30893,30894,30895,30896,35145,35146,35263,35264
高度(mm),1840,1840,1840,1840,1840,1838,1848,1839,1841
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
防紫外线玻璃,-,-,-,-,-,-,-,-,-
长度(mm),4751,4223,4751,4751,4751,4882,4882,4334,4334
长*宽*高(mm),4751*1877*1840,4223*1873*1840,4751*1877*1840,4751*1877*1840,4751*1877*1840,4882*1894*1838,4882*1894*1848,4334*1894*1839,4334*1894*1841
铝合金轮圈,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,LED,LED,卤素,LED
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,LED,LED,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),2947,2424,2947,2947,2947,3008,3008,2459,2459
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),4,2,4,4,4,4,4,2,2
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,4门5座SUV,2门4座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,2门4座SUV,2门4座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,前排,前排,前排,前排
车型名称,牧马人 2017款 3.6L Rubicon Recon 十年限量珍藏版,牧马人 2017款 3.6L Rubicon 两门舒享版,牧马人 2017款 3.6L Rubicon 四门舒享版,牧马人 2017款 3.0L Sahara 四门舒享版,牧马人 2017款 2.8TD Sahara 四门舒享版,牧马人 2018款 2.0T Sahara 四门版,牧马人 2018款 2.0T Rubicon 四门版,牧马人 2018款 2.0T Sahara 两门版,牧马人 2018款 2.0T Rubicon 两门版
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-
