Feature,24936,25802,25803,25804,25805,25806,25807,25808,25809,25816,25817,26150,26151
高度(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,-,-,-,●,●,●,●,●,-,-,-,●
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
长*宽*高(mm),4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695,4750*1800*1695
铝合金轮圈,●,-,●,●,●,●,●,●,●,●,●,-,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,●,●,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门5座MPV,5门6座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,●,●,-,-,-,-
车型名称,海马V70 2016款 1.5T 自动适·畅型 6座,海马V70 2016款 2.0L 手动适·宜型 5座,海马V70 2016款 2.0L 手动适·享型 6座,海马V70 2016款 2.0L 手动适·畅型 6座,海马V70 2016款 1.5T 自动适·畅型 7座,海马V70 2016款 1.5T 自动适·享型 6座,海马V70 2016款 1.5T 自动适·享型 7座,海马V70 2016款 1.5T 自动适·臻型 6座,海马V70 2016款 1.5T 自动适·臻型 7座,海马V70 2016款 2.0L 手动适·享型 7座,海马V70 2016款 2.0L 手动适·畅型 7座,海马V70 2016款 2.0L 手动适·悦型 7座,海马V70 2016款 1.5T 自动适·悦型 7座
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),110,850,110,110,110,110,110,110,110,110,110,110,110
蓝牙/车载电话,●,-,●,●,●,●,●,●,●,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,●,●,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,●,●,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
简称,6挡手自一体,6挡手动,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,6挡手动,6挡手动,6挡手自一体
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,-,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,2座,-,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,-,-,●,●,-,-,●,●,-,●,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,-,●,●,-,-,●,●,-,●,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,●,●,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,-,160
最小离地间隙(mm),140,140,140,140,140,140,140,140,140,140,140,140,140
最大马力(Ps),156,152,152,152,156,156,156,156,156,152,152,152,156
最大扭矩转速(rpm),1800-4000,4000,4000,4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,4000,4000,4000,1800-4000
最大扭矩(N·m)_y,220,185,185,185,220,220,220,220,220,185,185,185,220
最大扭矩(N·m)_x,220,185,185,185,220,220,220,220,220,185,185,185,220
最大功率转速(rpm),5500,6000,6000,6000,5500,5500,5500,5500,5500,6000,6000,6000,5500
最大功率(kW)_y,115,112,112,112,115,115,115,115,115,112,112,112,115
最大功率(kW)_x,115,112,112,112,115,115,115,115,115,112,112,112,115
无钥匙进入系统,●,-,-,-,●,-,-,●,●,-,-,-,-
无钥匙启动系统,●,-,-,-,●,-,-,●,●,-,-,-,-
方向盘调节,上下+前后调节,上下调节,上下调节,上下调节,上下+前后调节,上下调节,上下调节,上下+前后调节,上下+前后调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,160,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1497,1995,1995,1995,1497,1497,1497,1497,1497,1995,1995,1995,1497
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物,织物
座位数(个),6,5,6,6,7,6,7,6,7,7,7,7,7
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.5,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.5
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,-,-,-,●,●,●,●,●,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,-,-,●,●,●,●,●,●,-,●,-,-
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
