Feature,1012257,1012258,1012259,1012260,1012261,1012262,1013559,1013780,1013781,1013782,1013783,1013784,1015607,1015608,1015609,1015610,1015611,1015612,1015613
高度(mm),2901,3081,3081,3081,2825,3081,2825,2825,2825,3081,3081,2901,3081,3081,3081,2825,2825,2825,2825
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5990,5990,5990,5990,5940,5990,5940,5940,5940,5990,5990,5990,5990,5990,5990,5940,5940,5940,5940
长*宽*高(mm),5990×2420×2901,5990×2420×3081,5990×2420×3081,5990×2420×3081,5940×2062×2825,5990×2494×3081,5940×2062×2825,5940×2062×2825,5940×2062×2825,5990×2420×3081,5990×2420×3081,5990×2420×2901,5990*2420*3081,5990×2494×3081,5990×2494×3081,5940×2062×2825,5940×2062×2825,5940×2062×2825,5940×2062×2825
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760
轮圈材质,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
