Feature,46576,46577,46578,46582,46583,46585,46588,48234,48235,50389,50390,54170,60658,61195,61196,61197,61198
高度(mm),1710,1710,1710,1710,1705,1720,1720,1705,1720,1710,1720,1710,1695,1695,1695,1695,1695
驾驶辅助影像,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,双电机,双电机,双电机,双电机,双电机,-,双电机,-,双电机,单电机,单电机,双电机,双电机
驱动方式,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4890,4890,4890,4890,4890,5000,5000,4890,5000,4890,5000,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4890*1895*1710,4890*1895*1710,4890*1895*1710,4890*1895*1710,4890*1895*1705,5000*1895*1720,5000*1895*1720,4890*1895*1705,5000*1895*1720,4890*1895*1710,5000*1895*1720,4890*1895*1710,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695
钥匙类型,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-
辅助驾驶等级,-,,,,,,,,,,,,,,,,
轴距(mm),2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2850,2850,2850,2850,2850
轮圈材质,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,,,,,,,,,,,,,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门6座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,
车型名称,雷克萨斯RX 2020款 改款 300 两驱精英版,雷克萨斯RX 2020款 改款 300 两驱舒适版,雷克萨斯RX 2020款 改款 300 四驱典雅版,雷克萨斯RX 2020款 改款 300 四驱豪华版,雷克萨斯RX 2020款 改款 450h 四驱典雅版,雷克萨斯RX 2020款 改款 450hL 四驱典雅版7座,雷克萨斯RX 2020款 改款 450hL 四驱尊贵版6座,雷克萨斯RX 2020款 450h 四驱醇享版,雷克萨斯RX 2020款 450hL 四驱醇享版7座,雷克萨斯RX 2021款 300 四驱F SPORT,雷克萨斯RX 2021款 450hL 四驱豪华版6座,雷克萨斯RX 2021款 300 四驱特别版,2023款 500h 四驱F SPORT Performance,雷克萨斯RX 2023款 350h 两驱悦享版,雷克萨斯RX 2023款 350h 两驱舒享版,雷克萨斯RX 2023款 350h 四驱醇享版,雷克萨斯RX 2023款 350h 四驱智享版
车前雾灯,,,,,,,,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,-,,-,-,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
行程(mm),86,86,86,86,83,83,83,83,83,86,83,86,-,-,-,-,-
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,-,-,●,●,●,●,●,-,●,-,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),86,86,86,86,94,94,94,94,94,86,94,86,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合功率(kW),-,-,-,-,230,230,230,230,230,-,230,-,273,184,184,184,184
系统综合功率(Ps),-,-,-,-,313,313,313,313,313,-,313,-,371,250,250,250,250
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手自一体,E-CVT无级变速,6挡手自一体,6挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-
第二排座椅功能,-,-,-,,-,-,,-,-,-,,-,,-,-,-,
空载最小离地间隙(mm),194,194,194,194,189,189,189,189,189,194,189,194,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
移动物体预警系统,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
离去角(°),24.8,24.8,24.8,24.8,24,22.4,22.4,24,22.4,24.8,22.4,24.8,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,十年或25万公里,十年或25万公里,十年或25万公里,十年或25万公里,十年或25万公里,-,十年或25万公里,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,镍氢电池,镍氢电池,镍氢电池,镍氢电池,镍氢电池
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,-,前置+后置,-,前置+后置,前置,前置,前置+后置,前置+后置
电动机总扭矩(N·m),-,-,-,-,474,474,474,474,474,-,474,-,460,270,270,391,391
电动机总功率(kW),-,-,-,-,173,173,173,173,173,-,173,-,139,134,134,174,174
电动机总功率(Ps),-,-,-,-,235,235,235,235,235,-,235,-,189,182,182,237,237
电动机(Ps),-,-,-,-,235,235,235,235,235,-,235,-,189,182,182,237,237
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,,,,,,,,,,,,,-,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
电动后备厢,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
