,1004693,1004734,1004735,1004736,1004737,1004738,1004739,1004740,1004741,1004743,1004744,1004745,1004746,1004747,1004749,1004751,1004752,1004753,1004754,1004755,1004757,1004759,1004760,1004761,1004762,1004763,1004765,1004767,1004768,1004769,1004770,1004771,1004772,1004773,1004774,1004775,1004777,1004779,1004780,1004781,1004782,1004783,1004785,1004787,1004788,1004789,1004790,1004791,1004792,1004793,1004794,1004795,1004797,1004799,1004800,1004801,1004802,1004804,1005504,1005505,1005506,1005507,1005508,1005509,1005510,1005511,1005512,1005513,1005514,1005515,1005516,1005517,1005518,1005519,1005520,1005521,1005522,1005523,1005524,1005525,1005526,1005527,1005528,1005529,1005530,1005531,1005532,1005533,1005534,1005535,1005536,1005537,1005538,1005539,1005540,1005541
刹车辅助(EBA/BAS/BA等),●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
车身稳定控制(ESC/ESP/DSC等),●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
倒车视频影像,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
全景摄像头,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
定速巡航,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,●,●,-,-,-,-,●,●,-,-,●,●
上坡辅助,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,差速锁,-,-,-,-,-,-,-,-,-,-,-,-,(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),差速锁,差速锁,差速锁,差速锁,差速锁,-,-,(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),-,-,-,-,(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),(选装差速锁),差速锁,差速锁,差速锁,差速锁,差速锁,差速锁
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-,-,-,-,○,○,○,○,-,-,○,○,○,○,●,●
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,●,●
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,-,-,○,○,○,○,○,○,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●
无钥匙进入系统,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,-,-,○,○,○,○,○,○,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●
皮质方向盘,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
