Feature,54813,57124,58452,58453,58468,58469,58470,58473,58474,58475,58476,60571,60572,60574,60575
高度(mm),1784,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099,5099
长*宽*高(mm),5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784,5099*2014*1784
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●
运动外观套件,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●
辅助驾驶等级,,,-,,-,,,-,,-,,,,,
轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,○,●,-,●,-,○,●,-,○,-,○,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,奥迪Q6 2022款 45 TFSI quattro 齐云型 Light 羽林套装,奥迪Q6 2022款 50 TFSI quattro 凌云版 edition one,奥迪Q6 2022款 40 TFSI quattro 观云型 Light 羽林套装,奥迪Q6 2022款 50 TFSI quattro 行云型 飞骑套装,奥迪Q6 2022款 40 TFSI quattro 观云型 羽林套装,奥迪Q6 2022款 45 TFSI quattro 齐云型 羽林套装,奥迪Q6 2022款 50 TFSI quattro 行云型 羽林套装,奥迪Q6 2022款 40 TFSI quattro 观云型 Light 飞骑套装,奥迪Q6 2022款 45 TFSI quattro 齐云型 Light 飞骑套装,奥迪Q6 2022款 40 TFSI quattro 观云型 飞骑套装,奥迪Q6 2022款 45 TFSI quattro 齐云型 飞骑套装,奥迪Q6 2022款 45 TFSI quattro 黑武士版 Light,奥迪Q6 2022款 45 TFSI quattro 影武士版 Light,奥迪Q6 2022款 45 TFSI quattro 黑武士版,奥迪Q6 2022款 45 TFSI quattro 影武士版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,
