Feature,35134,35175,35176,35177,35178,35769,35770,38714,39079,39080,39081,39082,39083,40005,40006
高度(mm),1697,1697,1697,1697,1697,1697,1697,1712,1702,1712,1712,1712,1712,1712,1712
驻车制动类型,电子驻车,脚刹,脚刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,脚刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4845,4845,4845,4845,4845,4845,4845,4847,4847,4847,4847,4847,4847,4847,4847
长*宽*高(mm),4845*1802*1697,4845*1802*1697,4845*1802*1697,4845*1802*1697,4845*1802*1697,4845*1802*1697,4845*1802*1697,4847*1820*1712,4847*1820*1702,4847*1820*1712,4847*1820*1712,4847*1820*1712,4847*1820*1712,4847*1820*1712,4847*1820*1712
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,-,-,-,-,●,●,-,-,-,-,●,-,●
远程启动,-,-,-,-,-,-,-,●,-,-,-,-,●,-,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,LED,卤素,卤素,LED,LED,LED,LED,LED,卤素,卤素,卤素,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
转向辅助灯,●,-,-,-,●,-,●,●,-,-,-,-,●,-,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,●,-,●,●,-,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,-,-,-,-,●,●,-,-,-,-,●,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,全车,全车,主驾驶位,主驾驶位,主驾驶位,主驾驶位,全车,主驾驶位,全车
