Feature,1008782,1008783,1008784,1008785,1008786,1008787,1009067
高度(mm),2640,2530,2530,2370,2370,2370,2530
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5945,5945,5945,5285,5285,5285,5945
长*宽*高(mm),5945×2040×2640,5945×2040×2530,5945×2040×2530,5285×1985×2370,5285×1985×2370,5285×1985×2370,5945×2040×2530
配气机构,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
轴距(mm),3665,3665,3665,3250,3250,3250,3665
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,●
车身结构_y,货车,客车,客车,货车,客车,客车,客车
车身结构_x,货车,客车,客车,货车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,凯特 2019款 2.8T上柴厢货系列SC28R,凯特 2019款 2.8T上柴商务车SC28R,凯特 2019款 2.8T上柴系列SC28R,凯特 2019款 2.3T厢货系列WP,凯特 2019款 2.3T系列WP,凯特 2019款 2.3T商务车WP,凯特 2020款 2.8T上柴行政版SC28R
车内中控锁,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,6挡手动
空气悬架,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,-
