Feature,1012391,1012392,1012395
高度(mm),1925,1905,1905
驾驶辅助影像,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),4885,4755,4355
长*宽*高(mm),4885×1580×1925,4755×1580×1905,4355×1580×1905
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
远光灯光源,,,
进气形式,自然吸气,自然吸气,自然吸气
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),2900,2900,2600
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),4,2,2
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,货车,货车,货车
车身结构_x,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,-,-,-
车型名称,新豹T1 2021款 1.3L标准版双排栏板2000mm货箱DK12C,新豹T1 2021款 1.3L标准版单排栏板2700mm货箱DK12C,新豹T1 2021款 1.3L标准版单排栏板2300mm货箱DK12C
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,-,-,-
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),2000x1480x360,2700x1480x360,2300x1480x360
行车电脑显示屏幕,-,-,-
行程(mm),-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,汽油,汽油,汽油
胎压监测功能,-,-,-
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,未知,未知,未知
级别,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空调温度控制方式,-,-,-
空气悬架,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
温度分区控制,-,-,-
油箱容积(L),42,42,42
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),-,-,-
最大马力(Ps),91,91,91
最大载重质量(kg),495,930,940
最大满载质量(kg),-,-,-
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,119,119,119
最大扭矩(N·m)_x,119,119,119
最大功率转速(rpm),-,-,-
最大功率(kW)_y,67,67,67
最大功率(kW)_x,67,67,67
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整车质保,-,-,-
整备质量(kg),-,-,-
排量(mL),-,-,-
挡位个数,5,5,5
扬声器数量,,,
扬声器品牌名称,-,-,-
感应雨刷功能,-,-,-
感应后备厢,-,-,-
座椅材质,,,
座位数(个),5,2,2
并线辅助,-,-,-
工信部综合油耗(L/100km),-,-,-
巡航系统,-,-,-
宽度(mm),1580,1580,1580
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
多媒体/充电接口,-,-,-
多功能方向盘,-,-,-
外后视镜功能,-,-,-
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),-,-,-
后轮胎规格,165/70 R14,165/70 R14,165/70 R14
后排车门开启方式,平开门,-,-
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后排侧隐私玻璃,-,-,-
后排侧窗遮阳帘,-,-,-
后悬架类型,纵置钢板弹簧非独立悬架,纵置钢板弹簧非独立悬架,纵置钢板弹簧非独立悬架
后座出风口,-,-,-
后制动器类型,鼓式,鼓式,鼓式
可变转向比,-,-,-
可变悬架功能,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-
发动机型号,DK12C,DK12C,DK12C
发动机启停技术,-,-,-
发动机,1.3L 91马力 L4,1.3L 91马力 L4,1.3L 91马力 L4
压缩比,-,-,-
厂商指导价(元),3.89万,3.59万,3.29万
厂商,长安跨越,长安跨越,长安跨越
卫星导航系统,-,-,-
助力类型,无助力,无助力,无助力
副座椅调节方式,,-,-
前轮距(mm),-,-,-
前轮胎规格,165/70 R14,165/70 R14,165/70 R14
前排座椅功能,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,盘式
前/后驻车雷达,-,-,-
前/后电动车窗,-,-,-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
准拖挂车总质量(kg),-,-,-
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
供油方式,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,-,-,-
上市时间,2021.10,2021.10,2021.10
上坡辅助,-,-,-
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
220V/230V电源,-,-,-
