,33568,33569,33570,33571,33572
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●
后视镜电动调节,●,●,●,●,●
后视镜加热,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●
后视镜记忆,●,●,●,●,●
后风挡遮阳帘,●,●,●,●,●
后排侧遮阳帘,●,●,●,●,●
后排侧隐私玻璃,-,-,○,-,-
遮阳板化妆镜,●,●,●,●,●
后雨刷,-,-,-,-,-
感应雨刷,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,○,●,○,●
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,捷豹XJ 2018款 XJL 3.0 SC 两驱典雅商务版,捷豹XJ 2018款 XJL 3.0 SC 两驱全景商务版,捷豹XJ 2018款 XJL 3.0 SC 两驱尊享商务版,捷豹XJ 2018款 XJL 3.0 SC 四驱全景商务版,捷豹XJ 2018款 XJL 3.0 SC 四驱尊享商务版
厂商指导价(元),88.80万,92.80万,102.80万,95.80万,106.80万
厂商,捷豹,捷豹,捷豹,捷豹,捷豹
级别,大型车,大型车,大型车,大型车,大型车
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2018.02,2018.02,2018.02,2018.02,2018.02
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,250,250,250,250,250
最大扭矩(N·m)_x,450,450,450,450,450
发动机,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 340马力 V6,3.0T 340马力 V6
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),5265*1899*1460,5265*1899*1460,5265*1899*1460,5265*1899*1460,5265*1899*1460
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),250,250,250,195,195
官方0-100km/h加速(s),5.9,5.9,5.9,6.4,6.4
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),9.4,9.4,9.4,10,10
实测油耗(L/100km),-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),5265,5265,5265,5265,5265
宽度(mm),1899,1899,1899,1899,1899
高度(mm),1460,1460,1460,1460,1460
轴距(mm),3157,3157,3157,3157,3157
前轮距(mm),1623,1623,1623,1623,1623
后轮距(mm),1612,1612,1612,1612,1612
最小离地间隙(mm),-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4
座位数(个),5,5,5,5,5
油箱容积(L),80,80,80,80,80
行李厢容积(L),-,-,-,-,-
整备质量(kg),1955,1955,1955,2050,2050
发动机型号,-,-,-,-,-
排量(mL),2995,2995,2995,2995,2995
进气形式,机械增压,机械增压,机械增压,机械增压,机械增压
气缸排列形式,V,V,V,V,V
气缸数(个),6,6,6,6,6
每缸气门数(个),4,4,4,4,4
压缩比,10.5,10.5,10.5,10.5,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),84.5,84.5,84.5,84.5,84.5
行程(mm),89,89,89,89,89
最大马力(Ps),340,340,340,340,340
最大功率(kW)_y,250,250,250,250,250
最大功率转速(rpm),6500,6500,6500,6500,6500
最大扭矩(N·m)_y,450,450,450,450,450
最大扭矩转速(rpm),3500-5000,3500-5000,3500-5000,3500-5000,3500-5000
发动机特有技术,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V
挡位个数,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
四驱形式,-,-,-,适时四驱,适时四驱
中央差速器结构,-,-,-,待查,待查
前悬架类型,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架
后悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
助力类型,电动助力,电动助力,电动助力,电子液压助力,电子液压助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,245/50 R18 ,245/50 R18 ,245/45 R19,245/45 R19,245/45 R19
后轮胎规格,275/45 R18,275/45 R18,275/40 R19,275/40 R19,275/40 R19
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
