Feature,1006675,1006676,1006677
高度(mm),2314,2314,2314
驾驶辅助影像,-,-,-
驱动方式,-,-,-
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),5990,5990,5990
长*宽*高(mm),5990×1920×2314,5990×1920×2314,5990×1920×2314
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
远光灯光源,,,
进气形式,涡轮增压,自然吸气,涡轮增压
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3690,3690,3690
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),4,4,4
车载电视,-,-,-
车载冰箱,-,-,-
车载CD/DVD,,,
车身结构_y,客车,客车,客车
车身结构_x,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,-,-,-
车型名称,威麟H6 2018款 2.8T柴油公务型,威麟H6 2018款 2.7L汽油公务型,威麟H6 2018款 2.8T柴油商务型
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,-,-,-
车体结构,承载式,承载式,承载式
货箱尺寸(mm),-,-,-
行车电脑显示屏幕,-,-,-
行程(mm),-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,柴油,汽油,柴油
胎压监测功能,-,-,-
缺气保用轮胎,-,-,-
缸盖材料,未知,铝合金,未知
缸径(mm),-,-,-
缸体材料,未知,铸铁,未知
级别,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国V,国IV,国V
环保标准_x,国V,国IV,国V
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,0号,92号,0号
燃料形式,柴油,汽油,柴油
温度分区控制,-,-,-
油箱容积(L),70,70,70
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),140,140,140
最大马力(Ps),143,150,143
最大载重质量(kg),-,-,-
最大扭矩转速(rpm),1800-2400,2600-3600,1800-2400
最大扭矩(N·m)_y,330,260,330
最大扭矩(N·m)_x,330,260,330
最大功率转速(rpm),3200,4600,3200
最大功率(kW)_y,105,110,105
最大功率(kW)_x,105,110,105
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),2700,2700,2700
排量(mL),2770,2690,2770
挡位个数,5,5,5
扬声器数量,,,
扬声器品牌名称,-,-,-
感应雨刷功能,-,-,-
感应后备厢,-,-,-
座椅材质,,,
座位数(个),10-18,10-17,6-9
并线辅助,-,-,-
工信部综合油耗(L/100km),9.7,9.7,7.7
巡航系统,-,-,-
宽度(mm),1920,1920,1920
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
多媒体/充电接口,,,
多功能方向盘,-,-,-
外后视镜功能,,,
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1650,1650,1650
后轮胎规格,215/75 R16LT,215/75 R16LT,215/75 R16LT
后排车门开启方式,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅电动调节,-,-,-
后排座椅放倒形式,-,-,-
后排座椅功能,-,-,-
后排侧隐私玻璃,-,-,-
后排侧窗遮阳帘,-,-,-
后悬架类型,渐变式叶片式钢板簧,渐变式叶片式钢板簧,渐变式叶片式钢板簧
后座出风口,●,●,●
后制动器类型,鼓式,鼓式,鼓式
可变转向比,-,-,-
可变悬架功能,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-
发动机型号,-,-,-
发动机启停技术,-,-,-
发动机,2.8T 143马力 L4,2.7L 150马力 L4,2.8T 143马力 L4
压缩比,-,-,-
厂商指导价(元),23.68万,22.68万,24.68万
厂商,奇瑞万达客车,奇瑞万达客车,奇瑞万达客车
卫星导航系统,-,-,-
