Feature,1006008,1006009,1006010,1006011,1006012,1006013,1006014,1006015
高度(mm),1745,1745,1745,1745,1745,1745,1745,1745
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),5305,5305,5605,5605,5305,5305,5605,5605
长*宽*高(mm),5305×1825×1745,5305×1825×1745,5605×1825×1745,5605×1825×1745,5305×1825×1745,5305×1825×1745,5605×1825×1745,5605×1825×1745
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3050,3050,3350,3350,3050,3050,3350,3350
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,江淮V7 2018款 2.0L 两驱豪华型HFC4GA3-3D,江淮V7 2018款 2.0T 两驱豪华型D19TCIE13,江淮V7 2018款 2.0L 两驱豪华型长轴HFC4GA3-3D,江淮V7 2018款 2.0T 两驱豪华型长轴D19TCIE13,江淮V7 2018款 2.0L 两驱舒适型HFC4GA3-3D,江淮V7 2018款 2.0T 两驱舒适型D19TCIE13,江淮V7 2018款 2.0L 两驱舒适型长轴HFC4GA3-3D,江淮V7 2018款 2.0T 两驱舒适型长轴D19TCIE13
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1535x1450x475,1535x1450x475,1835x1450x475,1835x1450x475,1535x1450x475,1535x1450x475,1835x1450x475,1835x1450x475
行车电脑显示屏,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,-,-,-,-
