Feature,27120,27121,27122,27153,27154,27155,32564,32565,36030,36031,36764,36765
高度(mm),1690,1690,1715,1690,1690,1690,1690,1690,1690,1690,1690,1690
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,●,-,-,-,-,●,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4600,4600,4600,4600,4600,4600,4675,4600,4690,4600,4600,4690
长*宽*高(mm),4600*1845*1690,4600*1845*1690,4600*1845*1715,4600*1845*1690,4600*1845*1690,4600*1845*1690,4675*1845*1690,4600*1845*1690,4690*1895*1690,4600*1845*1690,4600*1845*1690,4690*1895*1690
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,LED,卤素,LED,LED,卤素,LED,LED,卤素,卤素,LED
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,LED,卤素,LED,LED,卤素,LED,LED,卤素,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,●,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,●,-,-,-,-,●,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车型名称,RAV4荣放 2016款 2.0L CVT两驱都市版,RAV4荣放 2016款 2.0L CVT两驱风尚版,RAV4荣放 2016款 2.5L 自动四驱尊贵版,RAV4荣放 2016款 2.0L CVT两驱舒适版,RAV4荣放 2016款 2.0L CVT两驱智尚版,RAV4荣放 2016款 2.0L CVT四驱新锐版,RAV4荣放 2018款 2.0L CVT两驱风尚X版,RAV4荣放 2018款 2.5L 自动四驱精英i版,RAV4荣放 2019款 2.0L CVT两驱风尚X限量版 国V,RAV4荣放 2019款 2.0L CVT两驱先锋版 国V,RAV4荣放 2019款 2.0L CVT两驱先锋版 国VI,RAV4荣放 2019款 2.0L CVT两驱风尚X限量版 国VI
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,-,-,●,-,●,●,-,●,-,-,-,-
行程(mm),97.6,97.6,98,97.6,97.6,97.6,97.6,98,97.6,97.6,97.6,97.6
行李厢容积(L),1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142
蓝牙/车载电话,-,●,●,●,●,●,●,●,●,-,-,●
自适应远近光,-,-,●,-,●,●,-,●,●,-,-,●
自适应巡航,-,-,●,-,-,-,-,●,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,●,●,●,●,●,●,●,●,-,-,●
膝部气囊,-,-,●,-,●,●,-,●,-,-,-,-
腰部支撑调节,-,-,●,-,●,●,-,●,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),80.5,80.5,90,80.5,80.5,80.5,80.5,90,80.5,80.5,80.5,80.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手自一体,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手自一体,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,-,●,●,-,●,-,-,-,-
疲劳驾驶提示,-,-,●,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,●,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国IV(国V),国V,国V,国V,国V,国IV(国V),国V,国V,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,●,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),175,175,180,175,175,175,175,180,-,175,-,-
最小离地间隙(mm),193,193,159,193,193,193,193,159,193,193,193,193
最大马力(Ps),151,151,180,151,151,151,151,180,151,151,151,151
最大扭矩转速(rpm),3800,3800,4100,3800,3800,3800,3800,4100,3800,3800,3800,3800
最大扭矩(N·m)_y,192,192,234,192,192,192,192,234,192,192,192,192
最大扭矩(N·m)_x,192,192,234,192,192,192,192,234,192,192,192,192
最大功率转速(rpm),6200,6200,6000,6200,6200,6200,6200,6000,6200,6200,6200,6200
最大功率(kW)_y,111,111,132,111,111,111,111,132,111,111,111,111
最大功率(kW)_x,111,111,132,111,111,111,111,132,111,111,111,111
无钥匙进入系统,-,●,●,●,●,●,●,●,●,-,-,●
无钥匙启动系统,-,●,●,●,●,●,●,●,●,-,-,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-
