Feature,26491,26492,26494,32396,34215,34216,34490,34840,37009,37062
高度(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
驻车制动类型,脚刹,脚刹,脚刹,脚刹,电子驻车,电子驻车,电子驻车,脚刹,电子驻车,脚刹
驱动电机数,-,-,-,-,单电机,单电机,单电机,-,单电机,-
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-
长度(mm),4496,4496,4496,4496,4507,4507,4507,4496,4507,4496
长*宽*高(mm),4496*1840*1615,4496*1840*1615,4496*1840*1615,4496*1840*1615,4507*1840*1615,4507*1840*1615,4507*1840*1615,4496*1840*1615,4507*1840*1615,4496*1840*1615
铝合金轮圈,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2660,2660,2660,2660,2660,2660,2660,2660,2660,2660
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,●,-,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排
车型名称,讴歌CDX 2016款 1.5T 两驱悦享版,讴歌CDX 2016款 1.5T 两驱畅享版,讴歌CDX 2016款 1.5T 两驱尊享版,讴歌CDX 2017款 1.5T 四驱尊享炫尚版,讴歌CDX 2018款 2.0L 两驱质享版Hybrid,讴歌CDX 2018款 2.0L 两驱创享版Hybrid,讴歌CDX 2018款 2.0L 两驱创享·魅版Hybrid,讴歌CDX 2018款 1.5T 四驱智享纪念版,讴歌CDX 2018款 2.0L 两驱MATTE GRAY特别版创享·魅版Hybrid,讴歌CDX 2018款 1.5T 四驱MATTE GRAY特别版智享·魅版
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),439,439,439,439,423,423,423,439,423,439
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
