Feature,1006278,1006279,1006280,1006281,1006470,1006471,1006685,1006686,1006687,1006688,1007577,1007578,1007579,1007580,1007581,1007582,1007583,1007584,1007585,1007586,1007587,1007588
高度(mm),1775,1775,1775,1775,1775,1775,1785,1785,1785,1785,1830,1830,1785,1830,1830,1785,1830,1830,1775,1830,1830,1775
驱动方式,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5295,5295,5295,5295,5295,5295,5580,5580,5580,5580,5580,5580,5580,5580,5580,5580,5295,5295,5295,5295,5295,5295
长*宽*高(mm),5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5580×1860×1785,5580×1860×1785,5580×1860×1785,5580×1860×1785,5580×1860×1830,5580×1860×1830,5580×1860×1785,5580×1860×1830,5580×1860×1830,5580×1860×1785,5295×1860×1830,5295×1860×1830,5295×1860×1775,5295×1860×1830,5295×1860×1830,5295×1860×1775
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
