Feature,30187,30448,30449,30450,30451,30452,30453,30534,31643,36440,37238,37239,37240,37241,37242,37243,37244,37245,37246
高度(mm),1695,1686,1686,1686,1695,1695,1695,1686,1695,1691,1686,1691,1691,1691,1691,1691,1731,1686,1691
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
长度(mm),4649,4649,4649,4649,4649,4649,4649,4649,4649,4669,4649,4669,4669,4669,4669,4669,4656,4649,4669
长*宽*高(mm),4649*1859*1695,4649*1859*1686,4649*1859*1686,4649*1859*1686,4649*1859*1695,4649*1859*1695,4649*1859*1695,4649*1859*1686,4649*1859*1695,4669*1865*1691,4649*1859*1686,4669*1865*1691,4669*1865*1691,4669*1865*1691,4669*1865*1691,4669*1865*1691,4656*1904*1731,4649*1859*1686,4669*1865*1691
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,SOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,●,-,-,-,-,●,●,-,-,●,○,-,-,●,-,●,●,○,-
远光灯,氙气,卤素,卤素,卤素,氙气,氙气,氙气,卤素,氙气,LED,卤素(选装氙气),LED,LED,LED,LED,LED,LED,卤素(选装氙气),LED
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
近光灯,氙气,卤素,卤素,卤素,氙气,氙气,氙气,卤素,氙气,LED,卤素(选装氙气),LED,LED,LED,LED,LED,LED,卤素(选装氙气),LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2705,2705,2705,2705,2705,2705,2705,2705,2705,2707,2705,2707,2707,2707,2707,2707,2720,2705,2707
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,○,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,前排,前排,前排,前排,前排,前排,前排,前排,前排,全车,前排,全车,全车,全车,全车,全车,全车,前排,全车
车型名称,自由光 2017款 2.4L 全能版,自由光 2017款 2.0L 领先版,自由光 2017款 2.0L 优越版,自由光 2017款 2.4L 领先版智能包,自由光 2017款 2.4L 专业版智能包,自由光 2017款 2.4L 优越版,自由光 2017款 2.4L 卓越版,自由光 2017款 2.4L 领先版,自由光 2017款 2.4L 专业版,自由光 2019款 2.0T 四驱全能版,自由光 2019款 2.0L 两驱典尚版 国V,自由光 2019款 2.0T 两驱智享版,自由光 2019款 2.0L 两驱优享版 国VI,自由光 2019款 2.0T 两驱越享版,自由光 2019款 2.0T 四驱专享版,自由光 2019款 2.0T 四驱探享版,自由光 2019款 2.0T 四驱高性能旗舰版,自由光 2019款 2.0L 两驱典尚版 国VI,自由光 2019款 2.0L 两驱优享版 国V
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-
自适应巡航,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,○,●,-,-
自动驻车,-,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●,●,-,●
自动泊车入位,●,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,●,-,-
自动头灯,●,-,-,-,-,●,●,-,-,●,-,●,●,●,-,●,●,-,●
膝部气囊,●,-,-,●,●,●,●,●,●,●,-,-,-,●,●,●,●,-,-
腰部支撑调节,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
