Feature,1008050,1008051,1008052,1008053,1008054,1008055,1008056,1008057,1008058,1008633,1008634,1008637,1011549,1011597,1011598,1011599,1011600,1011601,1011602,1011603,1011604,1011605,1011606,1011607,1014082,1014083,1014084,1014085,1014086,1014087,1014088,1014089,1014090,1014091,1014092,1014093
高度(mm),1890,1910,2435,2475,1890,1910,2465,1910,1890,1910,1910,2465,1910,2435,2460,1910,2435,1910,2435,2460,2435,2370,2475,1910,1610,1610,2435,2435,2475,2465,1610,1610,2435,2435,2475,2465
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5160,4860,4860,4915,4860,4860,4915,4860,4860,5160,4860,4915,5175,5175,5250,4890,4875,5175,5175,5250,4875,4950,4950,4890,4890,4890,4890,4890,4635,4965,4890,4890,4890,4890,4635,4965
长*宽*高(mm),5160×1600×1890,4860×1600×1910,4860×1600×2435,4915×1630×2475,4860×1600×1890,4860×1600×1910,4915×1600×2465,4860×1600×1910,4860×1600×1890,5160×1600×1910,4860×1600×1910,4915×1600×2465,5175×1600×1910,5175×1600×2435,5250×1630×2460,4890×1600×1910,4875×1600×2435,5175×1600×1910,5175×1600×2435,5250×1630×2460,4875×1600×2435,4950×1650×2370,4950×1600×2475,4890×1600×1910,4890×1600×1610,4890×1600×1610,4890×1600×2435,4890×1600×2435,4635×1650×2475,4965×1600×2465,4890×1600×1610,4890×1600×1610,4890×1600×2435,4890×1600×2435,4635×1650×2475,4965×1600×2465
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
