,14828,14915,14916,15017
最大扭矩(N·m)_x,93,93,93,93
发动机,1.0L 69马力 L3,1.0L 69马力 L3,1.0L 69马力 L3,1.0L 69马力 L3
变速箱,5挡手动,5挡手动,5挡手动,5挡AMT
长*宽*高(mm),3564*1620*1527,3564*1620*1527,3564*1620*1527,3564*1620*1527
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),150,150,150,150
官方0-100km/h加速(s),-,-,-,-
实测0-100km/h加速(s),-,-,14.18,-
实测100-0km/h制动(m),-,-,42.39,-
工信部综合油耗(L/100km),-,-,-,-
实测油耗(L/100km),-,-,5.48,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),3564,3564,3564,3564
宽度(mm),1620,1620,1620,1620
高度(mm),1527,1527,1527,1527
轴距(mm),2340,2340,2340,2340
前轮距(mm),1390,1390,1390,1390
后轮距(mm),1365,1365,1365,1365
最小离地间隙(mm),130,130,130,130
车身结构_y,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5
座位数(个),5,5,5,5
油箱容积(L),35,35,35,35
行李厢容积(L),-,-,-,-
整备质量(kg),936,936,936,944
发动机型号,SQR371F,SQR371F,SQR371F,SQR371F
排量(mL),998,998,998,998
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L
气缸数(个),3,3,3,3
每缸气门数(个),4,4,4,4
压缩比,11,11,11,11
配气机构,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-
行程(mm),-,-,-,-
最大马力(Ps),69,69,69,69
最大功率(kW)_y,51,51,51,51
最大功率转速(rpm),6000,6000,6000,6000
最大扭矩(N·m)_y,93,93,93,93
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500
发动机特有技术,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁
环保标准,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD
挡位个数,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT)
简称,5挡手动,5挡手动,5挡手动,5挡AMT
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹
前轮胎规格,165/60 R14,165/60 R14,165/60 R14,165/60 R14
后轮胎规格,165/60 R14,165/60 R14,165/60 R14,165/60 R14
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸
