Feature,38912,38949,39029,40637,40638,40683,40684,40718
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置四驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),4650,4650,4650,4650,4650,4650,4650,4650
长*宽*高(mm),4650*1860*1700,4650*1860*1700,4650*1860*1700,4650*1860*1700,4650*1860*1700,4650*1860*1700,4650*1860*1700,4650*1860*1700
铝合金轮圈,●,●,●,●,●,●,●,●
配气机构,DOHC,-,DOHC,DOHC,DOHC,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●
远程启动,●,●,●,●,●,●,●,●
远光灯,LED,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,-,涡轮增压,涡轮增压,涡轮增压,-,-,-
近光灯,LED,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),2712,2712,2712,2712,2712,2712,2712,2712
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5
车道偏离预警系统,●,●,●,-,-,-,●,-
车载空气净化器,●,●,●,-,-,-,●,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,主驾驶位,主驾驶位,主驾驶位,全车,主驾驶位
车型名称,宋Pro新能源 2019款 DM 1.5T 四驱高能版,宋Pro新能源 2019款 EV 高功率高续航版旗舰型,宋Pro新能源 2019款 DM 1.5T 四驱性能版旗舰型,宋Pro新能源 2019款 DM 1.5T 四驱性能版舒适型,宋Pro新能源 2019款 DM 1.5T 四驱性能版豪华型,宋Pro新能源 2019款 EV 高功率版豪华型,宋Pro新能源 2019款 EV 高功率版尊贵型,宋Pro新能源 2019款 EV 高功率版舒适型
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,-,-,-,●,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,-,-,●,-
自适应巡航,●,●,●,-,-,-,●,-
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,●,●,●,-,-,-,-,-
能源类型,插电式混合动力,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
胎压监测装置,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,铝合金,-,铝合金,铝合金,铝合金,-,-,-
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铝合金,-,铝合金,铝合金,铝合金,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),775,-,525,525,525,-,-,-
系统综合功率(kW),348,-,238,238,238,-,-,-
简称,6挡双离合,电动车单速变速箱,6挡双离合,6挡双离合,6挡双离合,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-
电池能量(kWh),15.7,71,15.7,15.7,15.7,59.1,59.1,59.1
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,前置+后置,前置,后置,后置,后置,前置,前置,前置
电动机总扭矩(N·m),530,280,280,280,280,280,280,280
电动机总功率(kW),230,135,120,120,120,120,120,120
电动座椅记忆,●,●,●,-,-,-,-,-
电动天窗,●,●,●,-,●,●,●,-
电动吸合门,-,-,-,-,-,-,-,-
电动后备厢,●,●,●,-,-,-,●,-
环保标准,国VI,-,国VI,国VI,国VI,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,-,92号,92号,92号,-,-,-
燃料形式,插电式混合动力,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
温度分区控制,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-
油箱容积(L),52,-,52,52,52,-,-,-
气缸数(个),4,-,4,4,4,-,-,-
气缸排列形式,L,-,L,L,L,-,-,-
