Feature,31332,31333,31334,31335
高度(mm),1521,1521,1521,1521
驻车制动类型,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-
陡坡缓降,-,-,-,-
防紫外线玻璃,-,-,-,-
长度(mm),4055,4055,4055,4055
长*宽*高(mm),4055*1729*1521,4055*1729*1521,4055*1729*1521,4055*1729*1521
铝合金轮圈,-,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,●,●
遥控钥匙,●,●,●,●
道路救援呼叫,-,-,-,●
远程启动,-,-,-,-
远光灯,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2520,2520,2520,2520
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),5,5,5,5
车道偏离预警系统,-,-,-,-
车载空气净化器,-,-,-,-
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,●,●
车联网,-,-,-,●
车窗防夹手功能,-,-,-,-
车窗一键升降,-,-,-,-
车型名称,名爵3 2017款 1.3L 手动精品舒适版,名爵3 2017款 1.5L 自动智联精英版,名爵3 2017款 1.5L 自动智联豪华版,名爵3 2017款 1.5L 自动尊享互联网版
车内空气调节/花粉过滤,-,-,-,●
车内氛围灯,-,-,-,-
车内中控锁,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●
行程(mm),-,-,-,-
行李厢容积(L),-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自适应巡航,-,-,-,-
自动驻车,-,-,-,-
自动泊车入位,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
腰部支撑调节,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,●
肩部支撑调节,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁
级别,小型车,小型车,小型车,小型车
简称,5挡手动,4挡手自一体,4挡手自一体,4挡手自一体
第二排靠背角度调节,-,-,-,-
第二排独立座椅,-,-,-,-
第二排座椅移动,-,-,-,-
第三排座椅,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-
皮质方向盘,-,●,●,●
疲劳驾驶提示,-,-,-,-
电磁感应悬架,-,-,-,-
电动座椅记忆,-,-,-,-
电动天窗,-,-,●,●
电动吸合门,-,-,-,-
电动后备厢,-,-,-,-
环保标准,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,●,●
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
流媒体车内后视镜,-,-,-,-
油箱容积(L),45,45,45,45
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,-,-
最小离地间隙(mm),-,-,-,-
最大马力(Ps),102,117,117,117
最大扭矩转速(rpm),5000,4500,4500,4500
最大扭矩(N·m)_y,121,150,150,150
最大扭矩(N·m)_x,121,150,150,150
最大功率转速(rpm),6000,6000,6000,6000
最大功率(kW)_y,75,86,86,86
最大功率(kW)_x,75,86,86,86
无钥匙进入系统,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-
方向盘电动调节,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),1130,1160,1190,1190
整体主动转向系统,-,-,-,-
排量(mL),1343,1498,1498,1498
挡位个数,5,4,4,4
扬声器品牌,-,-,-,-
扬声器个数,2-3喇叭,4-5喇叭,4-5喇叭,6-7喇叭
手机无线充电,-,-,-,-
手机互联/映射功能,-,●,●,●
感应雨刷,-,-,-,-
感应后备厢,-,-,-,-
座椅高低调节,-,-,●,●
座椅材料,织物,织物,织物,皮/织物混搭
座位数(个),5,5,5,5
并线辅助,-,-,-,-
工信部综合油耗(L/100km),5.6,5.9,5.9,5.9
导航路况信息显示,-,-,-,●
宽度(mm),1729,1729,1729,1729
实测油耗(L/100km),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
定速巡航,-,-,-,●
官方0-100km/h加速(s),-,-,-,-
安全带未系提示,●,●,●,●
大灯高度可调,●,●,●,●
大灯清洗装置,-,-,-,-
夜视系统,-,-,-,-
多天窗,-,-,-,-
多功能方向盘,-,●,●,●
外接音源接口,USB,USB,USB,USB
备胎规格,无,无,无,无
后风挡遮阳帘,-,-,-,-
后雨刷,-,●,●,●
后轮距(mm),-,-,-,-
后轮胎规格,185/70 R14,185/65 R15 ,195/55 R16,195/55 R16
后视镜记忆,-,-,-,-
后视镜电动调节,●,●,●,●
后视镜电动折叠,-,-,-,-
后视镜加热,-,●,●,●
后桥限滑差速器/差速锁,-,-,-,-
后排独立空调,-,-,-,-
后排液晶屏,-,-,-,-
后排杯架,-,-,-,-
后排座椅电动调节,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-
后排侧遮阳帘,-,-,-,-
后悬架类型,变截面扭力梁式非独立悬架,变截面扭力梁式非独立悬架,变截面扭力梁式非独立悬架,变截面扭力梁式非独立悬架
后座出风口,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-
可变悬架,-,-,-,-
可加热/制冷杯架,-,-,-,-
变速箱类型,手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,5挡手动,4挡手自一体,4挡手自一体,4挡手自一体
发动机电子防盗,●,●,●,●
发动机特有技术,-,-,-,-
发动机型号,13S4F,15S4C,15S4C,15S4C
发动机启停技术,-,-,-,-
发动机,1.3L 102马力 L4,1.5L 117马力 L4,1.5L 117马力 L4,1.5L 117马力 L4
压缩比,-,-,-,-
厂商指导价(元),5.98万,7.38万,8.38万,9.38万
厂商,上汽集团,上汽集团,上汽集团,上汽集团
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力
副驾驶位后排可调节按钮,-,-,-,-
前雾灯,-,-,-,-
前轮距(mm),-,-,-,-
前轮胎规格,185/70 R14,185/65 R15,195/55 R16,195/55 R16
前桥限滑差速器/差速锁,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-
前/后排座椅按摩,-,-,-,-
前/后排座椅加热,-,-,-,-
前/后排头部气囊(气帘),-,-,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,●,●
制动力分配(EBD/CBC等),●,●,●,●
内置行车记录仪,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-
全液晶仪表盘,-,-,-,-
全景摄像头,-,-,-,-
全景天窗,-,-,-,-
倒车视频影像,-,●,●,●
侧滑门,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
主动降噪,-,-,-,-
主动刹车/主动安全系统,-,-,-,-
主/副驾驶座电动调节,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
