Feature,1012264,1012265,1012266,1012267,1015438,1015439,1015440,1015441
高度(mm),-,-,-,-,-,-,-,-
驾驶辅助影像,,-,,-,,,,
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),-,-,-,-,-,-,-,-
长*宽*高(mm),××,××,××,××,××,××,××,××
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
轴距(mm),-,-,-,-,-,-,-,-
轮圈材质,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,庆铃五十铃T17 2021款 3.0T柴油四驱栏板车加长轴距4KH1CT6H1,庆铃五十铃T17 2021款 3.0T柴油四驱栏板车标准轴距4KH1CT6H1,庆铃五十铃T17 2021款 3.0T柴油两驱栏板车加长轴距4KH1CT6H1,庆铃五十铃T17 2021款 3.0T柴油两驱栏板车标准轴距4KH1CT6H1,庆铃五十铃T17 2023款 3.0T柴油两驱栏板车标准轴距4KH1CT6H1,庆铃五十铃T17 2023款 3.0T柴油四驱栏板车标准轴距4KH1CT6H1,庆铃五十铃T17 2023款 3.0T柴油两驱栏板车加长轴距4KH1CT6H1,庆铃五十铃T17 2023款 3.0T柴油四驱栏板车加长轴距4KH1CT6H1
车前雾灯,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车体结构,未知,未知,未知,未知,未知,未知,未知,未知
货箱尺寸(mm),1840,1486x1470x447,1840,1486x1470x447,1486x1470x447,1486x1470x447,1840,1840
行车电脑显示屏幕,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-
最大马力(Ps),142,142,142,142,142,142,142,142
最大载重质量(kg),-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,320,320,320,320,320,320,320,320
最大扭矩(N·m)_x,320,320,320,320,320,320,320,320
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大功率(kW)_y,105,105,105,105,105,105,105,105
最大功率(kW)_x,105,105,105,105,105,105,105,105
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-
排量(mL),-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
巡航系统,,,,,,,,
宽度(mm),-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-
后轮胎规格,235/75 R15,235/75 R15,215/75 R15,215/75 R15,215/75 R15,235/75 R15,215/75 R15,235/75 R15
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,
后悬架类型,未知,未知,未知,未知,未知,未知,未知,未知
后座出风口,-,-,-,-,-,-,-,-
后制动器类型,未知,未知,未知,未知,未知,未知,未知,未知
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-
发动机型号,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1,4KH1CT6H1
发动机启停技术,-,-,-,-,-,-,-,-
