,1006778,1006779,1006780,1006781,1006782,1006783,1006784,1006785,1006786,1006787,1006788,1006789,1006790,1006791,1006792,1006793
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,域虎3 2018款 1.8T汽油四驱豪华版标准轴距,域虎3 2018款 1.8T汽油四驱豪华版长轴距,域虎3 2018款 1.8T汽油四驱进取版标准轴距,域虎3 2018款 1.8T汽油四驱进取版长轴距,域虎3 2018款 1.8T汽油两驱豪华版标准轴距,域虎3 2018款 1.8T汽油两驱豪华版长轴距,域虎3 2018款 1.8T汽油两驱进取版标准轴距,域虎3 2018款 1.8T汽油两驱进取版长轴距,域虎3 2018款 2.5T柴油四驱豪华版标准轴距,域虎3 2018款 2.5T柴油四驱豪华版长轴距,域虎3 2018款 2.5T柴油四驱进取版标准轴距,域虎3 2018款 2.5T柴油四驱进取版长轴距,域虎3 2018款 2.5T柴油两驱豪华版标准轴距,域虎3 2018款 2.5T柴油两驱豪华版长轴距,域虎3 2018款 2.5T柴油两驱进取版标准轴距,域虎3 2018款 2.5T柴油两驱进取版长轴距
厂商指导价(元),10.82万,10.97万,10.18万,10.33万,9.32万,9.47万,8.68万,8.83万,11.52万,11.67万,10.78万,10.93万,9.72万,9.87万,8.98万,9.13万
厂商,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4,2.5T 125马力 L4
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795,5410×1905×1795,5770×1905×1795
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5410,5770,5410,5770,5410,5770,5410,5770,5410,5770,5410,5770,5410,5770,5410,5770
宽度(mm),1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
高度(mm),1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
轴距(mm),3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
后轮胎规格,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),177,177,177,177,177,177,177,177,125,125,125,125,125,125,125,125
最大功率(kW)_y,130,130,130,130,130,130,130,130,92,92,92,92,92,92,92,92
最大功率转速(rpm),4500-5200,4500-5200,4500-5200,4500-5200,4500-5200,4500-5200,4500-5200,4500-5200,3600,3600,3600,3600,3600,3600,3600,3600
最大扭矩(N·m)_y,280,280,280,280,280,280,280,280,310,310,310,310,310,310,310,310
最大扭矩转速(rpm),1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200,1800-2200
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
