Feature,52235,52293,52294,53036,53252,53253,53254,53255,53256,53257,53685,53686,53687,53688,53689,53690
高度(mm),1799,1799,1799,1789,1805,1805,1799,1799,1799,1799,1776,1800,1800,1800,1800,1789
驾驶辅助影像,,,,,-,,,,,,-,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5219,5219,5219,5238,5219,5219,5219,5219,5219,5219,5238,5238,5238,5238,5238,5238
长*宽*高(mm),5219*1878*1799,5219*1878*1799,5219*1878*1799,5238*1878*1789,5219*1878*1805,5219*1878*1805,5219*1878*1799,5219*1878*1799,5219*1878*1799,5219*1878*1799,5238*1878*1776,5238*1878*1800,5238*1878*1800,5238*1878*1800,5238*1878*1800,5238*1878*1789
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●
道路交通标识识别,●,●,●,-,-,●,●,●,●,●,-,-,-,-,-,-
远程启动功能,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶芯片,,,,-,-,-,,-,-,,-,-,-,-,-,-
轴距(mm),3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,●,●,-,-,●,●,●,●,●,-,-,●,-,●,-
车道保持辅助系统,●,●,●,-,-,●,●,●,●,●,-,-,●,-,●,-
车载空气净化器,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门7座MPV,5门4座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,
车型名称,别克GL8 2022款 Avenir艾维亚 六座贤礼版,别克GL8 2022款 Avenir艾维亚 七座亲礼版,别克GL8 2022款 Avenir艾维亚 四座尊礼版,别克GL8 2022款 陆上公务舱 652T 尊贵型福祉版,别克GL8 2022款 ES陆尊 653T 舒适型,别克GL8 2022款 ES陆尊 653T 尊享型,别克GL8 2022款 ES陆尊 653T 智慧豪华型,别克GL8 2022款 ES陆尊 653T 豪华型,别克GL8 2022款 ES陆尊 653T 旗舰型,别克GL8 2022款 ES陆尊 653T 智慧旗舰型,别克GL8 2022款 陆上公务舱 652T 舒适型,别克GL8 2022款 陆上公务舱 652T 豪华型,别克GL8 2022款 陆上公务舱 652T 智慧豪华型,别克GL8 2022款 陆上公务舱 652T 尊贵型,别克GL8 2022款 陆上公务舱 652T 智慧尊贵型,别克GL8 2022款 陆上公务舱 652T 豪华型福祉版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,-,,,,,,-,-,-,,,-
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,-,-,-,,-,-,,-,-,-,-,-,-
负离子发生器,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,-,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),521-851,521-1650,815,475-1605,521-1650,521-1650,521-1650,521-1650,521-1650,521-1650,475-1605,475-1605,475-1605,475-1605,475-1605,475-1605
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
芯片总算力,,,,-,-,-,,-,-,,-,-,-,-,-,-
自适应远近光,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
自动泊车入位,●,●,●,●,-,●,●,●,●,●,-,-,●,●,●,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-
能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,,,,,,,,
缺气保用轮胎,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-,-
电动后备厢,●,●,●,●,-,-,●,●,●,●,-,-,-,●,●,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
激光雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,
涉水感应系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,66,70,70,70,70,70,70,66,66,66,66,66,66
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,,,,-,-,-,,-,-,,-,-,-,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
最大功率(kW)_y,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
最大功率(kW)_x,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
最大净功率(kW),169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
最低荷电状态油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,,,,,-,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无框设计车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2050,2050,2040,2000,1970,1970,2050,2050,2050,2050,1880,1945,1945,1945,1945,2000
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,,,,-,-,-,,-,-,,-,-,-,-,-,-
排量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
挡位个数,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
扬声器数量,,,,,,,,,,,,,,,,
扬声器品牌名称,,,,-,-,-,-,-,,,-,-,-,-,-,-
手机无线充电功能,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,-,-,-,,,,,-,-,-,-,-,-
感应后备厢,●,●,●,-,-,-,●,●,●,●,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,
座椅布局,,,-,,,,,,,,,,,,,
座位数(个),6,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7
并线辅助,●,●,●,●,-,●,●,●,●,●,-,-,●,●,●,-
巡航系统,,,,,,,,,,,-,,,,,
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),9.8,9.8,9.8,9.9,9.8,9.8,9.8,9.8,9.8,9.8,9.5,9.5,9.5,9.5,9.5,9.9
安全带未系提醒,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,-,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多层隔音玻璃,,,,-,,,,,,,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,
备胎规格,无,无,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1626,1626,1626,1605,1626,1626,1626,1626,1626,1626,1605,1605,1605,1605,1605,1605
后轮胎规格,225/55 R18,225/55 R18,225/55 R18,225/60 R17,225/60 R17,225/60 R17,225/55 R18,225/55 R18,225/55 R18,225/55 R18,225/60 R17,225/60 R17,225/60 R17,225/60 R17,225/60 R17,225/60 R17
后排独立空调,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅防下滑气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,●,●,●,●,-,●,●,●,●,●,-,-,-,-,-,●
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,,-,,,,,,,,,,,,,
后排座椅功能,,,,-,-,,,,,,-,-,-,-,-,-
后排小桌板,●,●,-,-,-,●,●,●,●,●,-,-,-,-,-,-
后排安全带式气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排中央安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,扭力梁式非独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术,Tripower可变气门管理技术
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
