Feature,1008724,1008725,1008726,1008727,1008728,1008729,1008730,1008731,1008732,1008733,1008734,1008735,1008736,1008737,1008738,1008739,1008744,1008745,1008746,1008747,1008822,1008823,1009209,1009210,1009211,1009212,1009213,1009214,1009215,1009216,1009218,1009220,1009221,1009222,1009223,1009224,1010123,1010124,1010125,1010126,1010127,1010128,1010129,1010130,1012816,1012817
高度(mm),1870,1870,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱
陡坡缓降,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,-,-,,,-,-,-,-,,,-,-,,-,-,,,-,,,-,-,,,-,-,,-,,,-,-,,,-,-,,,-,-,,
长度(mm),5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5340,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5630,5340,5630,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340
长*宽*高(mm),5630×1940×1870,5340×1940×1870,5630×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1870,5340×1940×1870,5340×1940×1870,5340×1940×1870,5340×1940×1870,5340×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1870,5340×1940×1870,5340×1940×1870,5630×1940×1860,5340×1940×1860,5630×1940×1860,5340×1940×1860,5340×1940×1870,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1870,5630×1940×1870,5340×1940×1860,5340×1940×1860
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
