,20387,20388,21112,21114,21115,21116
座椅高低调节,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●
第二排座椅移动,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
GPS导航系统,●,-,-,●,●,●
道路救援呼叫,-,-,-,-,-,-
中控台彩色大屏,●,-,-,●,●,●
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,-,-,●,●,●
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,-,-,-,-,-,-
CD/DVD,单碟DVD,单碟CD,单碟CD,单碟DVD,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,●,-,-,-,●,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,吉姆尼(进口) 2015款 1.3 AT Mode3导航版,吉姆尼(进口) 2015款 1.3 AT JLX,吉姆尼(进口) 2015款 1.3 MT JLX,吉姆尼(进口) 2015款 1.3 MT JLX导航版,吉姆尼(进口) 2015款 1.3 MT Mode3导航版,吉姆尼(进口) 2015款 1.3 AT JLX导航版
厂商指导价(元),16.08万,15.18万,14.18万,14.48万,15.08万,15.48万
厂商,铃木(进口),铃木(进口),铃木(进口),铃木(进口),铃木(进口),铃木(进口)
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2014.12,2014.12,2014.12,2014.12,2014.12,2014.12
最大功率(kW)_x,62.5,62.5,62.5,62.5,62.5,62.5
最大扭矩(N·m)_x,110,110,110,110,110,110
发动机,1.3L 85马力 L4,1.3L 85马力 L4,1.3L 85马力 L4,1.3L 85马力 L4,1.3L 85马力 L4,1.3L 85马力 L4
变速箱,4挡自动,4挡自动,5挡手动,5挡手动,5挡手动,4挡自动
长*宽*高(mm),3695*1600*1705,3695*1600*1705,3695*1600*1705,3695*1600*1705,3695*1600*1705,3695*1600*1705
车身结构_x,3门4座SUV,3门4座SUV,3门4座SUV,3门4座SUV,3门4座SUV,3门4座SUV
最高车速(km/h),-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),7.4,7.4,7,7,7,7.4
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),3695,3695,3695,3695,3695,3695
宽度(mm),1600,1600,1600,1600,1600,1600
高度(mm),1705,1705,1705,1705,1705,1705
轴距(mm),2250,2250,2250,2250,2250,2250
前轮距(mm),1355,1355,1355,1355,1355,1355
后轮距(mm),1365,1365,1365,1365,1365,1365
最小离地间隙(mm),190,190,190,190,190,190
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),3,3,3,3,3,3
座位数(个),4,4,4,4,4,4
油箱容积(L),40,40,40,40,40,40
行李厢容积(L),113-816,113-816,113-816,113-816,113-816,113-816
整备质量(kg),-,-,-,-,-,-
发动机型号,M13A,M13A,M13A,M13A,M13A,M13A
排量(mL),1328,1328,1328,1328,1328,1328
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,9.5,9.5,9.5,9.5,9.5,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),78,78,78,78,78,78
行程(mm),69.5,69.5,69.5,69.5,69.5,69.5
最大马力(Ps),85,85,85,85,85,85
最大功率(kW)_y,62.5,62.5,62.5,62.5,62.5,62.5
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,110,110,110,110,110,110
最大扭矩转速(rpm),4100,4100,4100,4100,4100,4100
发动机特有技术,VVT,VVT,VVT,VVT,VVT,VVT
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,4,4,5,5,5,4
变速箱类型,自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT)
简称,4挡自动,4挡自动,5挡手动,5挡手动,5挡手动,4挡自动
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱
前悬架类型,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧
后悬架类型,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧,三连杆硬轴连螺旋弹簧
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15,205/70 R15
后轮胎规格,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
