Feature,55752,55753,55754,57191,57192,57964,57965,57966,60273,60274,60275,60276,62154,62155,62156,62204,62243,62244,62245
高度(mm),1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4680,4680,4680,4680,4680,4680,4680,4680,4700,4700,4700,4700,4680,4680,4700,4700,4680,4680,4680
长*宽*高(mm),4680*1720*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530,4700*1725*1530,4700*1725*1530,4700*1725*1530,4700*1725*1530,4680*1720*1530,4680*1720*1530,4700*1725*1530,4700*1725*1530,4680*1720*1530,4680*1720*1530,4680*1720*1530
钥匙类型,,,,,,,,,,,,,,,,,,,
道路救援呼叫,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,○,○,○
远光灯光源,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,,,,,,,,,,,,,,
车型名称,东风风神E70 2021款 改款二 360H 换电版,东风风神E70 2021款 改款三 500 超享版,东风风神E70 2021款 500 PLUS 超享版,东风风神E70 2022款 500 PLUS 超享版,东风风神E70 2022款 500 超享版,2023款 500 智行版 磷酸铁锂 47.58kWh,东风风神E70 2023款 500 智行版 三元锂,东风风神E70 2023款 500 PLUS 专享版,东风风神E70 2023款 PRO 奕智版 标准续航型,东风风神E70 2023款 PRO 奕智版 长续航型,东风风神E70 2023款 PRO 智行版,东风风神E70 2023款 PRO 畅行版,东风风神E70 2023款 360H 换电版,东风风神E70 2023款 400H 换电出租版,东风风神E70 2023款 400H 换电网约版,东风风神E70 2023款 改款 PRO 智行版,东风风神E70 2023款 500 智行版 磷酸铁锂 47.7kWh,2023款 500 智行版 磷酸铁锂 48.6kWh 120kW,2023款 500 智行版 磷酸铁锂 48.6kWh 110kW
车前雾灯,,,,,,-,-,,,,,,,,-,,-,-,-
