,31809,31810,31811,31812,34524,35693
前/后排座椅加热,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,-,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-
车联网,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-
扬声器数量,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,LED,LED,卤素
远光灯,卤素,卤素,卤素,LED,LED,卤素
LED日间行车灯,●,●,●,●,●,●
自适应远近光,-,●,●,●,●,●
自动头灯,-,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,●,●,-
前雾灯,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,●,●,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,前排,前排,前排,前排,前排,前排
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●
后视镜加热,-,●,●,●,●,●
内/外后视镜自动防眩目,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,-,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,●,●,-
车内空气调节/花粉过滤,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,斯巴鲁XV 2018款 2.0i 全驱精英版,斯巴鲁XV 2018款 2.0i 全驱豪华版,斯巴鲁XV 2018款 2.0i 全驱豪华版EyeSight,斯巴鲁XV 2018款 2.0i 全驱尊贵版EyeSight,斯巴鲁XV 2018款 2.0i 智擎旗舰版Eyesight,斯巴鲁XV 2018款 2.0i 智擎尊贵版Eyesight
厂商指导价(元),19.18万,20.18万,21.18万,22.18万,23.18万,22.18万
厂商,斯巴鲁,斯巴鲁,斯巴鲁,斯巴鲁,斯巴鲁,斯巴鲁
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合
上市时间,2017.09,2017.09,2017.09,2017.09,2018.08,2018.08
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,115,115,115,115,-,-
最大扭矩(N·m)_x,196,196,196,196,-,-
发动机,2.0L 156马力 H4,2.0L 156马力 H4,2.0L 156马力 H4,2.0L 156马力 H4,2.0L 146马力 H4,2.0L 146马力 H4
变速箱,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
长*宽*高(mm),4480*1800*1615,4480*1800*1615,4480*1800*1615,4480*1800*1615,4480*1800*1595,4480*1800*1595
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,10.21,-,-
实测100-0km/h制动(m),-,-,-,41.75,-,-
工信部综合油耗(L/100km),6.8,6.8,6.8,6.8,5.9,5.9
实测油耗(L/100km),-,-,-,8.9,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4480,4480,4480,4480,4480,4480
宽度(mm),1800,1800,1800,1800,1800,1800
高度(mm),1615,1615,1615,1615,1595,1595
轴距(mm),2665,2665,2665,2665,2665,2665
前轮距(mm),1550,1550,1550,1550,1550,1550
后轮距(mm),1555,1555,1555,1555,1550,1550
最小离地间隙(mm),220,220,220,220,220,220
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),63,63,63,63,50,50
行李厢容积(L),1220,1220,1220,1220,1327,1327
整备质量(kg),1443,1459,1462,1477,1573,1568
发动机型号,-,-,-,-,-,-
排量(mL),1995,1995,1995,1995,1995,1995
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,H,H,H,H,H,H
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,12.5,12.5,12.5,12.5,12.5,12.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),84,84,84,84,84,84
行程(mm),90,90,90,90,90,90
最大马力(Ps),156,156,156,156,146,146
最大功率(kW)_y,115,115,115,115,107,107
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,196,196,196,196,188,188
最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,油电混合,油电混合
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,9.6,9.6
电动机总扭矩(N·m),-,-,-,-,63,63
前电动机最大功率(kW),-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-
系统综合扭矩(N·m),-,-,-,-,-,-
驱动电机数,-,-,-,-,单电机,单电机
电机布局,-,-,-,-,前置,前置
电池类型,-,-,-,-,三元锂电池,三元锂电池
工信部续航里程(km),-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,-,-,-,-,待查,待查
快充时间(小时),-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
挡位个数,7,7,7,7,7,7
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,双叉横臂式独立悬架,双叉横臂式独立悬架,双叉横臂式独立悬架,双叉横臂式独立悬架,双叉横臂式独立悬架,双叉横臂式独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,225/60 R17,225/55 R18,225/55 R18,225/55 R18,225/55 R18,225/55 R18
后轮胎规格,225/60 R17,225/55 R18,225/55 R18,225/55 R18,225/55 R18,225/55 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
