Feature,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006726,1006727,1006728,1006729,1006730,1006731,1006732,1006733,1006734,1006735,1006736,1006737,1006738,1006741,1006742,1006743,1006744,1006745,1006746,1006755,1006756,1006757,1006758,1006759,1006760,1006761,1006762,1006763,1006764,1006765,1006766,1006767,1006768,1006769,1006770,1006771,1006772,1006774,1006775,1006776,1006777,1006832,1006833,1006834,1006835,1006836,1006837,1007307,1007308,1007309,1007310,1007311,1007312,1007313,1007314,1007315,1007316,1007317,1007318,1007319,1007320,1007321,1007322,1007323,1007324,1007325,1007326,1007327,1007328,1007329,1007330,1007331,1007777,1007778,1007779,1007780,1007781,1007782,1007783,1007784,1007785,1007786,1007787,1007788,1007789,1007790,1007791,1007792,1007793,1007794,1007795,1007796,1007797,1007798,1007799,1007800
高度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1860,1860,1790,1790,1790,1790,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1870,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5310,5310,5603,5603,5310,5310,5603,5603,5310,5310,5603,5603,5310,5310,5603,5603,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5603,5310,5603,5310,5603,5310,5603,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长*宽*高(mm),5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1860,5310×1880×1860,5603×1880×1860,5603×1880×1860,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1860×1790,5603×1860×1790,5310×1880×1860,5310×1880×1860,5310×1880×1790,5310×1880×1790,5310×1880×1790,5310×1880×1790,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1860,5603×1880×1860,5310×1880×1860,5603×1880×1860,5310×1880×1860,5603×1880×1860,5310×1880×1860,5603×1880×1860,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1870,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1880×1860,5310×1860×1870,5310×1860×1870,5310×1860×1870,5310×1860×1870,5310×1860×1870,5310×1860×1870,5310×1860×1870,5310×1860×1860,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××,××
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,SOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,SOHC,DOHC,SOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,未知,未知,SOHC,SOHC,SOHC,SOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,SOHC,SOHC,SOHC,SOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
