,14481,15120,15500,15501,15502,19356,20549,22330,22331
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,单碟CD,-,-,单碟CD,单碟CD,-,-,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,2-3喇叭,2-3喇叭,4-5喇叭,4-5喇叭,2-3喇叭,2-3喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,-,-,●,●,●,-,●,●
后视镜加热,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,-,●,●
后雨刷,-,-,-,●,●,-,-,●,●
感应雨刷,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车型名称,欧力威 2013款 1.2L 手动精英型,欧力威 2013款 1.2L 手动舒适型,欧力威 2013款 1.4L 手动劲悦型,欧力威 2013款 1.4L 手动劲享型,欧力威 2014款 1.4L AMT豪华型,欧力威 2014款 1.4L AMT优尚型,欧力威 2015款 1.2L 手动畅享型,欧力威 2015款 X6 1.4L 手动珠峰版,欧力威 2015款 X6 1.4L IMT旗舰版
厂商指导价(元),4.49万,4.29万,4.99万,5.29万,6.09万,5.69万,3.98万,5.89万,6.59万
厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2013.04,2013.04,2013.04,2013.04,2014.06,2014.06,2014.10,2015.06,2015.06
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-
最大功率(kW)_x,66,66,74,74,74,74,66,74,74
最大扭矩(N·m)_x,117,117,136,136,136,136,117,136,136
发动机,1.2L 90马力 L4,1.2L 90马力 L4,1.4L 101马力 L4,1.4L 101马力 L4,1.4L 101马力 L4,1.4L 101马力 L4,1.2L 90马力 L4,1.4L 101马力 L4,1.4L 101马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡AMT,5挡AMT,5挡手动,5挡手动,5挡AMT
长*宽*高(mm),3800*1700*1680,3800*1700*1680,3800*1700*1680,3840*1735*1710,3840*1735*1710,3800*1700*1680,3800*1700*1680,4035*1735*1720,4035*1735*1720
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,6.5,6.8
实测油耗(L/100km),-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),3800,3800,3800,3840,3840,3800,3800,4035,4035
宽度(mm),1700,1700,1700,1735,1735,1700,1700,1735,1735
高度(mm),1680,1680,1680,1710,1710,1680,1680,1720,1720
轴距(mm),2505,2505,2505,2505,2505,2505,2505,2505,2505
前轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460
后轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460
最小离地间隙(mm),-,-,-,-,-,-,-,175,175
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5
油箱容积(L),40,40,40,40,40,40,40,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-
整备质量(kg),1095,1095,1110,1110,1095,-,1095,1145,1145
发动机型号,E-POWER E12,E-POWER E12,E-POWER E14,E-POWER E14,E-POWER E14,E-POWER E14,E-POWER E12,E-POWER E14,E-POWER E14
排量(mL),1243,1243,1370,1370,1370,1370,1243,1370,1370
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-
最大马力(Ps),90,90,101,101,101,101,90,101,101
最大功率(kW)_y,66,66,74,74,74,74,66,74,74
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,117,117,136,136,136,136,117,136,136
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
发动机特有技术,-,-,VVT,VVT,VVT,VVT,-,VVT,VVT
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT),机械式自动变速箱(AMT),手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡AMT,5挡AMT,5挡手动,5挡手动,5挡AMT
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,盘式,盘式,盘式,盘式,鼓式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,175/70 R14,175/70 R14,185/60 R15,185/60 R15,185/60 R15,185/60 R15,175/70 R14,185/65 R15,185/65 R15
后轮胎规格,175/70 R14,175/70 R14,185/60 R15,185/60 R15,185/60 R15,185/60 R15,175/70 R14,185/65 R15 ,185/65 R15 
备胎规格,全尺寸,全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,全尺寸,非全尺寸,非全尺寸
