Feature,51725,53308,53309,53310,53311,53314,53315,53316,54503,54504,54530
高度(mm),1445,1450,1450,1450,1447,1503,1503,1503,1445,1447,1445
驾驶辅助影像,,-,,,,-,-,,,-,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,脚刹,电子驻车,电子驻车,电子驻车,手刹,手刹,手刹,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,-,-,-,-,-,-,-,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4649,4641,4641,4641,4641,4631,4631,4631,4649,4649,4649
长*宽*高(mm),4649*1815*1445,4641*1815*1450,4641*1815*1450,4641*1815*1450,4641*1815*1447,4631*1760*1503,4631*1760*1503,4631*1760*1503,4649*1815*1445,4649*1815*1447,4649*1815*1445
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,-,,,,-,-,-,,-,
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,○,-,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2712,2712,2712,2712,2712,2700,2700,2700,2712,2712,2712
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,-,-,●,●,-,-,-,-,-,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
