Feature,46130,46701,46702,56169,56170
高度(mm),1985,1985,1985,2005,1985
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,-,不限年限/不限里程（责任免除条款以官方为准）,-,-
面部识别,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,,,,-,
长度(mm),4765,4765,4765,4765,4765
长*宽*高(mm),4765*1955*1985,4765*1955*1985,4765*1975*1985,4765*1890*2005,4765*1955*1985
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-
道路交通标识识别,-,-,-,-,-
远程启动功能,-,-,-,-,-
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800
轮圈材质,,,,,
转向辅助灯,●,●,●,●,●
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门4座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,-,●,-,-
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,北京BJ80 2020款 3.0T 自动至尊,北京BJ80 2020款 2.3T 自动侠客,北京BJ80 2020款 3.0T 自动珠峰版,北京BJ80 2022款 2.3T 自动先锋版,北京BJ80 2022款 3.0T 自动荣耀版
车前雾灯,,,,,
车内香氛装置,-,-,-,-,-
车内环境氛围灯,,,,-,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车侧脚踏板,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
负离子发生器,-,-,-,-,-
语音识别控制系统,,-,,-,-
触摸式阅读灯,-,-,-,-,-
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动泊车入位,-,-,-,-,-
自动头灯,●,●,●,●,●
膝部气囊,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铸铁,铝合金,铸铁,铝合金
纵向通过角(°),25,25,25,25,25
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,6挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体
第二排独立座椅,-,-,●,-,-
第二排座椅调节,,-,,-,-
第二排座椅电动调节,●,-,●,-,-
