Feature,55615,55616,58353,59102,59131,59153,59635,59636,59637,59638,59639,59640,59641,59642,59643,59644
高度(mm),1893,1893,1893,1880,1880,1880,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,-,-,-,-,,,,,,
长度(mm),5110,5110,5110,5110,5110,5110,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005
长*宽*高(mm),5110*1996*1893,5110*1996*1893,5110*1996*1893,5110*1996*1880,5110*1996*1880,5110*1996*1880,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875,5005*1932*1875
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,○,○,-,-,○,○,○,○
透明底盘/540度影像,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●
远程启动功能,,,,,,,-,-,,,-,-,,,,
远光灯光源,,,,,,,,,,,,,,,,
