,21194,22572
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
膝部气囊,-,-
胎压监测装置,●,●
零胎压继续行驶,●,●
安全带未系提示,●,●
ISOFIX儿童座椅接口,●,●
ABS防抱死,●,●
制动力分配(EBD/CBC等),●,●
刹车辅助(EBA/BAS/BA等),●,●
牵引力控制(ASR/TCS/TRC等),●,●
车身稳定控制(ESC/ESP/DSC等),●,●
并线辅助,-,-
车道偏离预警系统,-,-
主动刹车/主动安全系统,-,-
夜视系统,○,○
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,●,●
全景摄像头,●,●
定速巡航,●,●
自适应巡航,-,-
自动泊车入位,-,-
发动机启停技术,●,●
上坡辅助,●,●
自动驻车,●,●
陡坡缓降,-,-
可变悬架,软硬调节,软硬调节
空气悬架,-,-
可变转向比,●,●
前桥限滑差速器/差速锁,-,-
中央差速器锁止功能,-,-
后桥限滑差速器/差速锁,限滑差速器,限滑差速器
整体主动转向系统,●,●
电动天窗,-,-
全景天窗,-,-
运动外观套件,●,●
铝合金轮圈,●,●
电动吸合门,●,●
侧滑门,-,-
电动后备厢,-,-
感应后备厢,-,-
车顶行李架,-,-
发动机电子防盗,●,●
车内中控锁,●,●
遥控钥匙,●,●
无钥匙启动系统,●,●
无钥匙进入系统,●,●
皮质方向盘,●,●
方向盘调节,上下+前后调节,上下+前后调节
方向盘电动调节,●,●
多功能方向盘,●,●
方向盘换挡,●,●
方向盘加热,○,○
方向盘记忆,●,●
行车电脑显示屏,●,●
全液晶仪表盘,-,-
HUD抬头数字显示,●,●
座椅材质,真皮,真皮
运动风格座椅,●,●
座椅高低调节,●,●
腰部支撑调节,●,●
肩部支撑调节,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-
第二排座椅移动,-,-
后排座椅电动调节,-,-
电动座椅记忆,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
前/后排座椅通风,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-
第三排座椅,-,-
后排座椅放倒方式,-,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
后排杯架,-,●
GPS导航系统,●,●
定位互动服务,●,●
中控台彩色大屏,●,●
中控液晶屏分屏显示,-,-
蓝牙/车载电话,●,●
车载电视,○,○
后排液晶屏,-,-
220V/230V电源,-,-
外接音源接口,USB+AUX,USB+AUX
CD/DVD,多碟DVD,多碟DVD
扬声器品牌,HarmanKardon哈曼卡顿(选装Bang & Olufsen),HarmanKardon哈曼卡顿(选装Bang & Olufsen)
扬声器数量,8-9喇叭,8-9喇叭
近光灯,LED,LED
远光灯,LED,LED
LED日间行车灯,●,●
自适应远近光,-,-
自动头灯,●,●
转向辅助灯,-,-
转向头灯,●,●
前雾灯,-,-
大灯高度可调,●,●
大灯清洗装置,●,●
车内氛围灯,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,●,●
防紫外线/隔热玻璃,●,●
后视镜电动调节,●,●
后视镜加热,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
后视镜电动折叠,●,●
后视镜记忆,●,●
后风挡遮阳帘,○,○
后排侧遮阳帘,-,○
后排侧隐私玻璃,-,-
遮阳板化妆镜,●,●
后雨刷,-,-
感应雨刷,●,●
空调控制方式,自动●,自动●
后排独立空调,-,●
后座出风口,-,●
温度分区控制,●,●
车内空气调节/花粉过滤,●,●
车载冰箱,-,-
车型名称,宝马M6 2015款 M6 Coupe,宝马M6 2015款 M6 Gran Coupe
厂商指导价(元),197.00万,197.00万
厂商,宝马M,宝马M
级别,中大型车,中大型车
能源类型,汽油,汽油
上市时间,2015.05,2015.05
最大功率(kW)_x,412,412
最大扭矩(N·m)_x,680,680
发动机,4.4T 560马力 V8,4.4T 560马力 V8
变速箱,7挡双离合,7挡双离合
长*宽*高(mm),4903*1899*1385,5016*1899*1406
车身结构_x,2门4座硬顶跑车,4门5座三厢车
最高车速(km/h),250,250
官方0-100km/h加速(s),4.2,4.2
实测0-100km/h加速(s),-,-
实测100-0km/h制动(m),-,-
工信部综合油耗(L/100km),10.2,10.2
实测油耗(L/100km),-,-
整车质保,三年或10万公里,三年或10万公里
长度(mm),4903,5016
宽度(mm),1899,1899
高度(mm),1385,1406
轴距(mm),2851,2964
前轮距(mm),-,-
后轮距(mm),-,-
最小离地间隙(mm),-,-
车身结构_y,硬顶跑车,三厢车
车门数(个),2,4
座位数(个),4,5
油箱容积(L),80,80
行李厢容积(L),-,-
整备质量(kg),-,-
发动机型号,S63B44TU,S63B44TU
排量(mL),4395,4395
进气形式,双涡轮增压,双涡轮增压
气缸排列形式,V,V
气缸数(个),8,8
每缸气门数(个),4,4
压缩比,9.3,9.3
配气机构,DOHC,DOHC
缸径(mm),89,89
行程(mm),88.3,88.3
最大马力(Ps),560,560
最大功率(kW)_y,412,412
最大功率转速(rpm),6000-7000,6000-7000
最大扭矩(N·m)_y,680,680
最大扭矩转速(rpm),1500-5750,1500-5750
发动机特有技术,Double VANOS/Valvetronic,Double VANOS/Valvetronic
燃料形式,汽油,汽油
燃油标号,95号,95号
供油方式,直喷,直喷
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
环保标准,欧IV,欧IV
挡位个数,7,7
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT)
简称,7挡双离合,7挡双离合
驱动方式,前置后驱,前置后驱
前悬架类型,铝合金双接头弹簧柱,铝合金双接头弹簧柱
后悬架类型,铝合金多连杆,铝合金多连杆
助力类型,机械液压助力,机械液压助力
车体结构,承载式,承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车
前轮胎规格,265/35 R20,265/35 R20
后轮胎规格,295/30 R20,295/30 R20
备胎规格,无,无
