Feature,1014577,1014780,1014781,1014782,1014783,1014784,1014785,1014786,1014787,1014788,1014789,1014790,1014791,1014792
高度(mm),1875,1865,1865,1875,1865,1865,1865,1875,1875,1865,1865,1865,1865,1865
驾驶辅助影像,,-,-,,,,,,,,,,,
驱动方式,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱
陡坡缓降,●,-,-,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5350,5600,5600,5600,5600,5600,5600,5350,5350,5600,5600,5350,5600,5600
长*宽*高(mm),5350*1980*1875,5600*1930*1865,5600*1930*1865,5600*1945*1875,5600*1930*1865,5600*1930*1865,5600*1930*1865,5350*1980*1875,5350*1980*1875,5600*1930*1865,5600*1930*1865,5350*1930*1865,5600*1930*1865,5600*1930*1865
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,●,-,-,-,●,●,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3180,3430,3430,3430,3430,3430,3430,3180,3180,3430,3430,3180,3430,3430
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,●,-,-,●,-,-,-,●,●,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,-,●,-,-,-,●,●,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,-,-,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
