Feature,49449,61418,61421
高度(mm),1710,1710,1710
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-
面部识别,-,-,-
隐藏电动门把手,-,-,-
陡坡缓降,●,●,●
限滑差速器/差速锁,-,-,-
长度(mm),5125,5125,5125
长*宽*高(mm),5125*1998*1710,5125*1998*1710,5125*1998*1710
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●
道路交通标识识别,○,●,○
远程启动功能,-,-,-
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
辅助驾驶等级,,,
轴距(mm),2995,2995,2995
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,●,●,●
车顶行李架,●,●,●
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道居中保持,○,●,○
车道偏离预警系统,○,●,○
车道保持辅助系统,○,●,○
车载空气净化器,●,●,●
车载电视,○,○,○
车载冰箱,○,○,○
车载CD/DVD,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,添越插电混动 2021款 3.0T PHEV,添越插电混动 2023款 3.0T PHEV 雅度版,添越插电混动 2023款 3.0T PHEV
车前雾灯,-,-,-
车内香氛装置,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
负离子发生器,●,●,●
语音识别控制系统,,,
触摸式阅读灯,●,●,●
被动行人保护,-,-,-
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
膝部气囊,●,●,●
能量回收系统,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV
系统综合扭矩(N·m),700,700,700
系统综合功率(kW),330,330,330
系统综合功率(Ps),449,449,449
简称,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,○,○,○
第二排座椅调节,,,
第二排座椅电动调节,○,○,○
第二排座椅功能,,,
空调温度控制方式,,,
空气悬架,●,●,●
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电池预加热,●,●,●
电池能量(kWh),17.3,17.3,17.3
电池组质保,待查,待查,待查
电池类型,-,-,-
电机类型,-,-,-
电机布局,-,-,-
电动机总扭矩(N·m),350,350,350
电动机总功率(kW),94,94,94
电动机总功率(Ps),128,128,128
电动机(Ps),128,128,128
电动扰流板,-,-,-
电动座椅记忆功能,,,
电动吸合车门,,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,95号,95号,95号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力
灯光特色功能,,,
温度分区控制,●,●,●
液晶仪表尺寸,,,
油箱容积(L),75,75,75
气缸数(个),6,6,6
气缸排列形式,V,V,V
每缸气门数(个),4,4,4
最高车速(km/h),254,254,254
最大马力(Ps),340,340,340
最大满载质量(kg),3250,3250,3250
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,450,450,450
最大扭矩(N·m)_x,700,700,700
最大功率转速(rpm),-,-,-
最大功率(kW)_y,250,250,250
最大功率(kW)_x,330,330,330
最大净功率(kW),250,250,250
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,●,●,●
方向盘材质,,,
方向盘换挡,●,●,●
方向盘加热,○,○,○
方向盘位置调节,,,
整车质保,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),2648,2648,2648
整体主动转向系统,-,-,-
排量(mL),2995,2995,2995
换挡形式,,,
挡位个数,8,8,8
扬声器数量,,,
扬声器品牌名称,,,
手机无线充电功能,,,
手机互联/映射,,,
手势控制,-,-,-
慢充时间(小时)_y,7.5,7.5,7.5
慢充时间(小时)_x,7.5,7.5,7.5
感应雨刷功能,,,
感应后备厢,○,○,○
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,2.5,2.5,2.5
快充时间(小时)_x,2.5,2.5,2.5
快充功能,-,-,-
座椅材质,,,
座位数(个),5,5,5
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1998,1998,1998
官方0-100km/h加速(s),5.5,5.5,5.5
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
大灯延时关闭,●,●,●
夜视系统,○,●,○
多层隔音玻璃,,,
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸
四驱形式,全时四驱,全时四驱,全时四驱
后风挡遮阳帘,-,-,-
后雨刷,●,●,●
后轮距(mm),-,-,-
后轮胎规格,285/45 R21,285/40 R22,285/45 R21
后排独立空调,●,●,●
后排液晶屏幕,-,-,-
后排杯架,●,●,●
后排控制多媒体,-,-,-
后排座椅电动放倒,-,-,-
后排座椅放倒形式,,,
后排小桌板,○,○,○
后排侧隐私玻璃,○,○,○
