Feature,42643,43481,45619,45620,46953,52453,55313,55886,56151,56152,56153,56451,56542,56566,56567
高度(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机,单电机,单电机,双电机
驱动方式,双电机四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,双电机四驱,前置前驱,前置前驱,双电机四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4980,4960,4980,4980,4960,4980,4975,4975,4975,4975,4975,4995,4995,4995,4995
长*宽*高(mm),4980*1910*1495,4960*1910*1495,4980*1910*1495,4980*1910*1495,4960*1910*1495,4980*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495
钥匙类型,,,,,,,,,,,,,,,
配气机构,-,DOHC,-,-,DOHC,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
进气形式,-,涡轮增压,-,-,涡轮增压,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,○,○,○,○,○,○,○,○,●
运动外观套件,○,○,○,○,○,○,-,-,-,-,-,-,-,-,●
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,汉 2020款 EV 四驱高性能版旗舰型,汉 2020款 DM 四驱性能版豪华型,汉 2020款 EV 超长续航版豪华型,汉 2020款 EV 超长续航版尊贵型,汉 2020款 DM 四驱性能版尊贵型,汉 2021款 EV 标准续航版豪华型,汉 2022款 DM-i 121KM 尊享型,汉 2022款 DM-p 202KM 四驱旗舰型,汉 2022款 DM-i 242KM 旗舰型,汉 2022款 DM-i 121KM 尊荣型,汉 2022款 DM-i 121KM 尊贵型,汉 2022款 EV 创世版 610KM四驱尊享型,汉 2022款 EV 创世版 715KM前驱旗舰型,汉 2022款 EV 创世版 715KM前驱尊荣型,汉 2022款 EV 610KM四驱千山翠限量版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,●,-,-,-,○,-,-,●
车内环境氛围灯,,-,-,,,-,,,,-,-,,,-,
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
