Feature,57834,57835,57836,57837,57838,57839,57840,57843,57844,57845,57846,57847,57848,57849,57850,57851
高度(mm),1778,1800,1778,1800,1778,1778,1778,1778,1778,1778,1778,1800,1778,1800,1778,1800
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1825*1778,4825*1825*1800,4825*1825*1778,4825*1825*1800,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1800,4825*1825*1778,4825*1825*1800,4825*1825*1778,4825*1825*1800
钥匙类型,,,,,,,,,,,,,,,,
配气机构,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,
进气形式,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,-,●,-,●,●,-,●,●,-,●,-,●,-,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,○
车道保持辅助系统,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,○
车载空气净化器,-,-,-,○,●,●,●,●,●,●,-,-,-,-,-,○
车载智能系统,-,,,,-,,,-,,,-,,-,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门5座MPV,5门5座MPV,5门5座MPV,5门5座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,●,-,●,●,-,●,●,-,●,-,●,●,●
车窗防夹手功能,-,●,-,●,●,●,●,●,●,●,-,●,-,●,-,●
车窗一键升降功能,-,,-,,,,,,,,-,,-,,-,
车型名称,上汽大通MAXUS MIFA 5 2022款 430KM 精英版 七座,上汽大通MAXUS MIFA 5 2022款 430KM 豪华版 七座,上汽大通MAXUS MIFA 5 2022款 520KM 乐享版 六座,上汽大通MAXUS MIFA 5 2022款 520KM 欧洲版 六座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 乐享版 七座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 智享版 七座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 尊享版 七座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 乐享版 六座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 智享版 六座,上汽大通MAXUS MIFA 5 2022款 1.3T PLUG IN 尊享版 六座,上汽大通MAXUS MIFA 5 2022款 430KM 精英版 六座,上汽大通MAXUS MIFA 5 2022款 430KM 豪华版 六座,上汽大通MAXUS MIFA 5 2022款 430KM 精英版 五座,上汽大通MAXUS MIFA 5 2022款 430KM 豪华版 五座,上汽大通MAXUS MIFA 5 2022款 520KM 乐享版 五座,上汽大通MAXUS MIFA 5 2022款 520KM 欧洲版 五座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,-,,-,-,,-,-,-,-,-,
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,,,,-,,,-,,,-,,-,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
