Feature,1017563,1017564,1018458,1018459,1018460,1018461,1018462,1018463,1018464,1018465,1018949,1018950,1018951,1018952,1018953,1018954,1018955,1019037,1019038,1019039,1019040,1019041,1019042,1019043,1019538,1020572,1020573,1020574,1020575,1020576,1020577,1020578,1020579,1020580,1020581,1020582,1020583,1020584,1020585,1020586,1020587,1020588,1020589,1020590,1020591,1020592,1020593,1020594,1020595,1020596,1020597,1020598,1020599,1020600,1020601,1020602,1020603
高度(mm),1980,2180,2180,2500,1980,2180,2500,1980,2180,2500,1980,2180,2500,2180,1980,2180,2500,1980,2180,2500,2180,1980,2180,2500,2180,2180,2180,2180,1980,1980,2180,2180,2500,2500,2180,1980,2180,2500,1940,2180,2500,2180,2500,1980,2180,2500,1980,1980,2180,2180,2500,2500,1980,2180,2500,2500,2500
驾驶辅助影像,-,,-,-,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5490,4990,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,4990,5490,5490,5490,5490,5490,5490,4990,5490,5490,5490,4990,4990,4990,4990,5490,5490,5490,5490,5490,5490,4990,5490,5490,5490,5018,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5490,5995,5995
长*宽*高(mm),5490*1980*1980,4990*1980*2180,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,4990*1980*2180,5490*1980*1980,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,4990*1980*2180,5490*1980*1980,5490*1980*2180,5490*1980*2500,4990*1980*2180,4990*1980*2180,4990*1980*2180,4990*1980*2180,5490*1980*1980,5490*1980*1980,5490*1980*2180,5490*1980*2180,5490*1980*2500,5490*1980*2500,4990*1980*2180,5490*1980*1980,5490*1980*2180,5490*1980*2500,5018*1980*1940,5490*1980*2180,5490*1980*2500,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,5490*1980*1980,5490*1980*1980,5490*1980*2180,5490*1980*2180,5490*1980*2500,5490*1980*2500,5490*1980*1980,5490*1980*2180,5490*1980*2500,5995*1980*2500,5995*1980*2500
