Feature,1015271,1015272,1015273,1015274,1015275,1015793,1016425,1016426,1016427,1016428,1016429,1016430,1016431,1016432,1016433,1016434,1016608,1016609,1016610,1016611,1016612,1016613,1016614,1016615,1016616,1016617,1016618,1017438,1017439,1017896,1017897,1017898,1017899,1018092,1018869,1018870,1018871,1019036,1019676,1019932,1020199,1020200,1020201,1020202,1020203,1020204,1020205,1020206,1020207
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,2200,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,,
驻车制动类型,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820
长*宽*高(mm),4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*2200,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4805*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990,4820*1715*1990
