Feature,47938,48688,48689,48690,48691,51204,57089,59500,59501
高度(mm),1492,1492,1492,1492,1492,1492,1492,1492,1492
驾驶辅助影像,,-,,,,,,,
驾驶模式切换,,-,-,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4772,4772,4772,4772,4772,4772,4772,4772,4772
长*宽*高(mm),4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492,4772*1820*1492
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,-,●,●,-,-,●
道路交通标识识别,●,-,-,-,-,●,-,-,-
远程启动功能,,-,-,-,,,-,-,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
辅助驾驶等级,,-,-,-,-,,-,-,-
轴距(mm),2760,2760,2760,2760,2760,2760,2760,2760,2760
轮圈材质,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,●,-,-,-
车道偏离预警系统,●,-,-,-,-,●,-,-,-
车道保持辅助系统,●,-,-,-,-,●,-,-,-
车载空气净化器,-,-,-,-,-,●,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,-,-,-,●,●,-,-,●
车窗防夹手功能,●,-,-,-,●,●,-,-,●
车窗一键升降功能,,-,-,-,,,-,-,
车型名称,思皓A5 2021款 1.5T CVT旗舰型,思皓A5 2021款 1.5T 手动舒适型,思皓A5 2021款 1.5T 手动豪华型,思皓A5 2021款 1.5T CVT豪华智能型,思皓A5 2021款 1.5T CVT尊贵智联型,思皓A5 2021款 1.5T CVT旗舰智尊型,思皓A5 2022款 1.5T CVT青春版,思皓A5 2023款 1.5T CVT豪华舒享型,思皓A5 2023款 1.5T CVT尊贵耀享型
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,,,-,-,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,●,-,-,-
语音识别控制系统,,-,-,-,,,-,-,
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,●,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,CVT无级变速,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),145,145,145,145,145,145,145,145,145
空调温度控制方式,,,,,,,,,
离去角(°),15,15,15,15,15,15,15,15,15
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,-,-,-,-,●,-,-,-
电动后备厢,●,-,-,-,-,●,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,,-,,,,,,,
温度分区控制,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,
油箱容积(L),55,55,55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190,190,-,-
最大马力(Ps),150,150,150,150,150,150,150,150,150
最大满载质量(kg),1865,1857,1857,1865,1865,1865,1865,-,-
最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500
最大扭矩(N·m)_y,210,210,210,210,210,210,210,210,210
最大扭矩(N·m)_x,210,210,210,210,210,210,210,210,210
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,110,110,110,110,110,110,110,110,110
最大功率(kW)_x,110,110,110,110,110,110,110,110,110
最大净功率(kW),100,100,100,100,100,100,100,100,100
无钥匙进入功能,,-,,,,,,,
无钥匙启动系统,●,-,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1440,1432,1432,1440,1440,1440,1440,-,-
接近角(°),14,14,14,14,14,14,14,14,14
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499
换挡形式,,,,,,,,,
挡位个数,无级变速,6,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,,-,-,-
手机无线充电功能,,-,-,-,-,,-,-,-
手机互联/映射,-,-,,,-,-,,,-
手机APP远程功能,,-,-,-,,,-,-,
感应雨刷功能,,,,,,,,,
感应后备厢,●,-,-,-,-,●,-,-,-
座椅材质,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5
并线辅助,●,-,-,-,-,●,-,-,-
巡航系统,,,,,,,-,,
导航路况信息显示,●,-,-,-,●,●,-,-,●
宽度(mm),1820,1820,1820,1820,1820,1820,1820,1820,1820
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,
天窗类型,,-,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,-,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,-,-,-,,,-,-,
后雨刷,-,-,-,-,-,-,-,-,-
后轮距(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550
后轮胎规格,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17
后排独立空调,-,-,-,-,-,-,-,-,-
后排杯架,●,-,-,-,●,●,-,-,●
后排座椅放倒形式,,,,,,,,,
后悬架类型,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架
后座出风口,●,-,-,-,●,●,-,-,●
后备厢容积(L),540-1650,540-1650,540-1650,540-1650,540-1650,540-1650,540-1650,540-1650,540-1650
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,CVT无级变速,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●
发动机特有技术,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E
发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
厂商指导价(元),11.58万,7.88万,8.88万,9.88万,10.58万,14.58万,9.78万,9.88万,10.58万
厂商,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团
卫星导航系统,●,-,-,-,●,●,-,-,●
