Feature,1016198,1016199,1016200,1016201,1019001,1019002,1019003,1019004,1019005,1019006,1019007,1019008,1019009,1019010,1019011,1019012,1019021
高度(mm),2400,2050,1695,1695,2450,2450,2450,2450,2090,2090,2090,2090,1805,1805,1805,1805,1805
驾驶辅助影像,-,-,-,-,,,,,,,,,,,,,-
驾驶模式切换,-,-,-,-,,,,,,,,,,,,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4400,4400,4400,4400,4400,4600,4750,4960,4400,4600,4750,4960,4400,4600,4750,4960,4400
长*宽*高(mm),4400*1570*2400,4400*1570*2050,4400*1570*1695,4400*1570*1695,4400*1570*2450,4600*1570*2450,4750*1570*2450,4960*1570*2450,4400*1570*2090,4600*1570*2090,4750*1570*2090,4960*1570*2090,4400*1570*1805,4600*1570*1805,4750*1570*1805,4960*1570*1805,4400*1570*1805
钥匙类型,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),2800,2800,2800,2800,2800,2800,3150,3150,2800,2800,3150,3150,2800,2800,3150,3150,2800
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
