Feature,1003359,1003360,1003361,1003362,1003363,1003364,1003365,1003366,1003367,1003368,1003369,1004236,1004237,1005602
高度(mm),1730,1730,1830,1830,1830,1830,1690,1690,1690,1690,1690,1715,1715,1690
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5470,5470,5540,5540,5540,5540,5470,5470,5470,5470,5470,5085,5540,5015
长*宽*高(mm),5470×1725×1730,5470×1725×1730,5540×1725×1830,5540×1725×1830,5540×1725×1830,5540×1725×1830,5470×1725×1690,5470×1725×1690,5470×1725×1690,5470×1725×1690,5470×1725×1690,5085×1725×1715,5540×1725×1715,5015×1725×1690
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,-,未知,-,未知,-,未知,-,未知,未知,未知,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3025,3380,3025
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,大力神 2015款 2.5T柴油两驱豪华型长轴DK4B,大力神 2015款 2.5T柴油两驱精英型长轴DK4B,大力神 2015款 2.2L四驱豪华型JM491Q-ME,大力神 2015款 2.2T四驱豪华型D22A,大力神 2015款 2.2L四驱精英型JM491Q-ME,大力神 2015款 2.2T四驱精英型D22A,大力神 2015款 2.2L两驱豪华型长轴JM491Q-ME,大力神 2015款 2.2T两驱豪华型长轴D22A,大力神 2015款 2.2L两驱精英型长轴JM491Q-ME,大力神 2015款 2.2T两驱精英型长轴D22A,大力神 2015款 2.2L双燃料两驱豪华型长轴JM491Q-ME,大力神 2016款 2.4TK3 柴油两驱标准型短轴4D25U,大力神 2016款 2.4TK3 柴油两驱标准型长轴4D25U,大力神 2015款 2.2T两驱精英型短轴D22A
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1835x1465x475,1380x1465x475,1835x1465x475,1380x1465x475
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,手动●,自动●,自动●,自动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,-,-,●
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,0号
燃料形式,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),130,130,130,130,130,130,130,130,130,130,130,130,130,-
最小离地间隙(mm),-,-,-,-,-,-,200,200,200,200,200,200,200,200
最大马力(Ps),116,116,103,102,103,102,103,102,103,102,103,88,88,102
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1800-2600,1800-2600,2000-2600,2000-2600,2000-2600,2000-2600,2000-2600,2000-2600,2000-2600,2000-2600,2000-2600,-,-,2000-2600
最大扭矩(N·m)_y,280,280,193,225,193,225,193,225,193,225,193,255,255,225
最大扭矩(N·m)_x,280,280,193,225,193,225,193,225,193,225,193,255,255,225
最大功率转速(rpm),3800,3800,-,4000,-,4000,-,4000,-,4000,-,-,-,4000
最大功率(kW)_y,85,85,76,75,76,75,76,75,76,75,76,65,65,75
最大功率(kW)_x,85,85,76,75,76,75,76,75,76,75,76,65,65,75
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,两年或5万公里,-
整备质量(kg),1770,1770,1730,1770,1730,1770,1600,1595,1600,1595,-,1700,1700,-
排量(mL),2498,2498,2237,2184,2237,2184,2237,2184,2237,2184,2237,2433,2433,2184
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,织物,织物,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-,-,-,-,●,●,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,1460,1460,1460,1460,1460,1476,1476,1460
后轮胎规格,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,235/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15,225/75 R15
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
