Feature,60658,61195,61196,61197,61198,70146,70420,70421,70422,70423,70424
高度(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动电机数,双电机,单电机,单电机,双电机,双电机,-,单电机,单电机,双电机,双电机,双电机
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
面部识别,○,-,-,-,●,-,-,-,-,●,○
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695,4890*1920*1695
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,○,-,-,-,●,-,-,-,-,●,○
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,○,-,-,-,●,-,-,-,-,●,○
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,●,-,-,-,-,-,-,-,-,-,●
辅助驾驶等级,,,,,,,,,,,
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
轮圈材质,,,,,,,,,,,
转向辅助灯,○,-,-,●,●,-,-,-,●,●,○
车顶行李架,●,-,●,●,●,-,-,●,●,●,●
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,雷克萨斯RX 2023款 500h 四驱F SPORT Performance,雷克萨斯RX 2023款 350h 两驱悦享版,雷克萨斯RX 2023款 350h 两驱舒享版,雷克萨斯RX 2023款 350h 四驱醇享版,雷克萨斯RX 2023款 350h 四驱智享版,雷克萨斯RX 2025款 300 四驱骏享版,雷克萨斯RX 2025款 350h 两驱悦享版,雷克萨斯RX 2025款 350h 两驱舒享版,雷克萨斯RX 2025款 350h 四驱醇享版,雷克萨斯RX 2025款 350h 四驱智享版,雷克萨斯RX 2025款 500h 四驱F SPORT Performance
车前雾灯,,,,,,,,,,,
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,●,●,-,-,-,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,○,-,-,-,●,-,-,-,-,●,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,
能量回收系统,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
能源类型_x,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合功率(kW),273,184,184,184,184,-,184,184,184,184,273
系统综合功率(Ps),371,250,250,250,250,-,250,250,250,250,371
简称,6挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手自一体
第二排座椅调节,,,,,,,,,,,
第二排座椅电动调节,○,-,-,-,-,-,-,-,-,-,○
第二排座椅功能,,-,-,-,,-,-,-,-,,
空调温度控制方式,,,,,,,,,,,
移动物体预警系统,●,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,○,-,-,-,●,-,-,-,-,●,○
电池类型,,,,,,-,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置,前置,前置+后置,前置+后置,-,前置,前置,前置+后置,前置+后置,前置+后置
电动机总马力(Ps),189,182,182,237,237,-,182,182,237,237,189
电动机总扭矩(N·m),460,270,270,391,391,-,270,270,391,391,460
电动机总功率(kW),139,134,134,174,174,-,134,134,174,174,139
电动机(Ps),189,182,182,237,237,-,182,182,237,237,189
电动座椅记忆功能,,-,,,,-,-,,,,
电动后备厢位置记忆,●,-,-,●,●,-,-,-,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
灯光特色功能,,-,-,,,-,-,-,,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),65,65,65,65,65,67.5,65,65,65,65,65
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),210,200,200,200,200,180,200,200,200,200,210
最小转弯半径(m),5.5,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.5
最大马力(Ps),271,189,189,189,189,248,189,189,189,189,271
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2000-3000,4300-4500,4300-4500,4300-4500,4300-4500,1800-4000,4300-4500,4300-4500,4300-4500,4300-4500,2000-3000
最大扭矩(N·m)_y,460,241,241,241,241,380,241,241,241,241,460
最大扭矩(N·m)_x,-,-,-,-,-,380,-,-,-,-,-
最大功率转速(rpm),5800,6000,6000,6000,6000,6000,6000,6000,6000,6000,5800
最大功率(kW)_y,199,139,139,139,139,182,139,139,139,139,199
