Feature,60096,60097,61791,61792,61793
高度(mm),1632,1632,1632,1632,1632
驾驶辅助影像,,,,,
驾驶模式切换,,,-,-,
驻车制动类型,,,,,
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,●,-,-,-
长度(mm),4458,4458,4458,4458,4458
长*宽*高(mm),4458*1841*1632,4458*1841*1632,4458*1841*1632,4458*1841*1632,4458*1841*1632
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
辅助驾驶系统,,,-,,
辅助驾驶等级,,,-,,
轴距(mm),2680,2680,2680,2680,2680
轮圈材质,,,,,
转向辅助灯,●,●,-,-,●
转向头灯,●,●,-,-,●
车顶行李架,●,●,-,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,●
车道偏离预警系统,●,●,-,●,●
车道保持辅助系统,●,●,-,●,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,途岳 2023款 300TSI 两驱月尊版,途岳 2023款 330TSI 四驱月尊版,途岳 2023款 300TSI 两驱新月版,途岳 2023款 300TSI 两驱皎月版,途岳 2023款 300TSI 两驱满月版
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,-,-,●
自动驻车,●,●,●,●,●
自动泊车入位,●,●,-,-,-
自动头灯,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
