Feature,1012932,1013312,1013313,1013314,1013315,1013316,1013317,1013739,1013751,1013752,1013753,1013754,1013755,1013756,1013757,1014408,1014409,1014410
高度(mm),1790,1860,1860,1860,1860,1860,1790,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860,1790
驾驶辅助影像,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,,-,,,-,-,,,,,-,-,-,-,,-,-
长度(mm),5603,5603,5603,5603,5310,5310,5603,5603,5310,5603,5310,5603,5310,5603,5310,5603,5603,5603
长*宽*高(mm),5603×1860×1790,5603×1860×1860,5603×1860×1860,5603×1860×1860,5310×1860×1860,5310×1860×1860,5603×1860×1790,5603×1860×1870,5310×1860×1870,5603×1860×1870,5310×1860×1870,5603×1860×1870,5310×1860×1870,5603×1860×1870,5310×1860×1870,5603×1860×1860,5603×1860×1860,5603×1860×1790
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
轴距(mm),3398,3398,3398,3398,3105,3105,3398,3398,3105,3398,3105,3398,3105,3398,3105,3398,3398,3398
轮圈材质,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,●,●,○,○,○,○,●,●,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
