Feature,1016962,1016963,1016964,1016965,1016966,1016967,1016968,1016969
高度(mm),1970,1970,2360,2360,2430,2430,2470,2445
驾驶辅助影像,-,,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),5500,5500,5695,5695,5695,5695,5695,5500
长*宽*高(mm),5500*1760*1970,5500*1760*1970,5695*1760*2360,5695*1810*2360,5695*1760*2430,5695*1810*2430,5695*1760*2470,5500*1760*2445
钥匙类型,,,,,,,-,-
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-
车型名称,五菱荣光新卡EV 2023款 单排-基本型,五菱荣光新卡EV 2023款 单排-舒适型,五菱荣光新卡EV 2023款 货柜车 单排单层 非侧开门,五菱荣光新卡EV 2023款 货柜车 单排单层 侧开门,五菱荣光新卡EV 2023款 货柜车 单排双层 非侧开门,五菱荣光新卡EV 2023款 货柜车 单排双层 侧开门,五菱荣光新卡EV 2023款 单排-普通型仓栅 圆管,五菱荣光新卡EV 2023款 单排-加强型仓栅 方管
车前雾灯,-,,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3300x1650x360,3300x1650x360,3300x1700x1530,3300x1700x1530,3260x1670x1560,3260x1670x1560,3300x1650x360,3300x1650x360
语音识别控制系统,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),21,21,15,15,15,15,15,21
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电池能量(kWh),56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
电池类型,,,,,,,,
电池快充电量范围(%)_y,30-80,30-80,-,-,-,-,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,-,-,-,-,30-80,30-80
电池快充时间(小时)_y,0.77,0.77,-,-,-,-,0.77,0.77
电池快充时间(小时)_x,0.77,0.77,-,-,-,-,0.77,0.77
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),240,240,240,240,240,240,240,240
电动机总功率(kW),100,100,100,100,100,100,100,100
电动机总功率(Ps),136,136,136,136,136,136,136,136
电动机(Ps),136,136,136,136,136,136,136,136
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100
最大载重质量(kg),1210,1210,1070,1070,1080,1080,1110,1080
最大满载质量(kg),3020,3020,3020,3020,3020,3020,3020,3020
最大扭矩(N·m),240,240,240,240,240,240,240,240
最大功率(kW),100,100,100,100,100,100,100,100
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),1680,1680,1820,1820,1810,1810,1780,1810
