Feature,64659,70708,70709,70710
魔毯智能悬架,●,●,●,●
高度(mm),1517,1517,1515,1515
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,四电机,四电机,四电机,四电机
驱动方式,,,,
风阻系数(Cd),0.195,0.195,0.195,0.195
面部识别,●,●,●,●
隐藏电动门把手,●,●,●,●
陡坡缓降,-,-,-,-
长度(mm),5265,5265,5360,5360
长*宽*高(mm),5265*1998*1517,5265*1998*1517,5360*2000*1515,5360*2000*1515
钥匙类型,,,,
配气机构,-,-,DOHC,DOHC
遥控泊车,●,●,●,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,-,-,涡轮增压,涡轮增压
近光灯光源,,,,
辅助驾驶路段,,,,
辅助驾驶芯片,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
辅助泊车入位,●,●,●,●
辅助变道,●,●,●,●
辅助匝道自动驶出(入),●,●,●,●
轴距(mm),3160,3160,3200,3200
轮圈材质,,,,
转向辅助灯,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载智能系统,,,,
车载冰箱,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门4座三厢车,4门4座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机系统存储(GB),,,,
车机系统内存(GB),,,,
车型名称,仰望U7 2025款 EV 五座豪华版,仰望U7 2025款 EV 四座旗舰版,仰望U7 2025款 PHEV 四座旗舰版,仰望U7 2025款 PHEV 五座豪华版
车前雾灯,-,-,-,-
车内香氛装置,●,●,●,●
车内生物监测系统,●,●,●,●
车内环境氛围灯,,,,
车内摄像头数量,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,●,●,●,●
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
记忆泊车,●,●,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
芯片总算力,,,,
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动开合车门,●,●,●,●
自动头灯,●,●,●,●
膝部气囊,,,,
能量回收系统,●,●,●,●
能源类型_y,纯电动,纯电动,插电式混合动力,插电式混合动力
能源类型_x,纯电动,纯电动,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缸盖材料,-,-,铝合金,铝合金
缸体材料,-,-,铝合金,铝合金
级别,大型车,大型车,大型车,大型车
简称,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,
第二排座椅电动调节,●,●,●,●
第二排座椅功能,,,,
空调温度控制方式,,,,
空气质量监测,●,●,●,●
离去角(°),15,15,14,14
百公里耗电量(kWh/100km),21.8,21.8,-,-
疲劳驾驶提示,●,●,●,●
电芯品牌,,,,
电能当量燃料消耗量(L/100km),2.53,2.53,-,-
电池预加热,●,●,●,●
电池能量(kWh),135.5,135.5,52.4,52.4
电池类型,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.33,0.33,0.17,0.17
电池快充时间(小时)_x,0.33,0.33,0.17,0.17
电池冷却方式,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电子外后视镜功能,,,,
电动机总马力(Ps),1306,1306,1306,1306
电动机总扭矩(N·m),1680,1680,1680,1680
电动机总功率(kW),960,960,960,960
电动机(Ps),1306,1306,1306,1306
电动扰流板,●,●,●,●
电动座椅记忆功能,,,,
电动吸合车门,,,,
电动后备厢,●,●,●,●
环保标准_y,-,-,国VI,国VI
环保标准_x,-,-,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,-,-,92号,92号
热泵空调,●,●,-,-
灯光特色功能,,,,
激光雷达线数,,,,
激光雷达数量,,,,
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),-,-,60,60
气缸数(个),-,-,4,4
气缸排列形式,-,-,H,H
毫米波雷达数量,,,,
每缸气门数(个),-,-,4,4
模拟声浪,●,●,●,●
杜比全景声(Dolby Atmos),●,●,●,●
最高车速(km/h),270,270,270,270
最小转弯半径(m),4.85,4.85,4.85,4.85
最大马力(Ps),-,-,245,245
最大满载质量(kg),3470,3470,3598,3598
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,-,-,380,380
最大扭矩(N·m)_x,1680,1680,-,-
最大功率转速(rpm),-,-,-,-
最大功率(kW)_y,-,-,180,180
最大功率(kW)_x,960,960,-,-
最大净功率(kW),-,-,180,180
