Feature,1012939,1012940,1012941,1012942,1012943,1012948,1012963,1012964,1012967,1013999
高度(mm),2525,2525,2525,2525,2525,2505,2525,2525,2555,2530
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5498,5498,5940,5940,5940,5498,5940,5940,5498,5498
长*宽*高(mm),5498×2062×2525,5498×2062×2525,5940×2062×2525,5940×2062×2525,5940×2062×2525,5498×2062×2505,5940×2062×2525,5940×2062×2525,5498×2062×2555,5498*2062*2530
钥匙类型,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
轴距(mm),3366,3366,3760,3760,3760,3366,3760,3760,3366,3366
轮圈材质,,,,,,,,,,
车门数(个),,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-
车型名称,新途EV90 2022款 VAN 长轴高顶3座72kWh,新途EV90 2022款 VAN 长轴高顶3座51.5kWh,新途EV90 2022款 VAN 加长轴高顶3座88.55kWh,新途EV90 2022款 VAN 加长轴高顶3座72kWh,新途EV90 2022款 VAN 加长轴高顶3座51.5kWh,新途EV90 2022款 COMBI 长轴高顶7座72kWh,新途EV90 2022款 BUS 普通版 加长轴高顶15座72kWh,新途EV90 2022款 BUS 普通版 加长轴高顶14座88.55kWh,新途EV90 2022款 BUS 普通版 长轴高顶9座72kWh,新途EV90 2022款 BUS 普通版 长轴高顶9座88.55kWh
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,○,○,-,-
