Feature,66450,66451,68101,69937,69938,70441,70442,71364
高度(mm),1487,1487,1487,1487,1487,1479,1479,1479
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4990,4990,4990,4990,4990,4866,4866,4866
长*宽*高(mm),4990*1854*1487,4990*1854*1487,4990*1854*1487,4990*1854*1487,4990*1854*1487,4866*1832*1479,4866*1832*1479,4866*1832*1479
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,-,-,-
道路交通标识识别,●,●,-,●,●,-,●,○
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
辅助驾驶系统,,,-,,,-,,
辅助驾驶等级,,,-,,,-,,
轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871
轮圈材质,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●
转向头灯,-,●,-,-,●,-,○,-
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,●,-,●,○
车道偏离预警系统,●,●,-,●,●,-,●,○
车道保持辅助系统,●,●,-,●,●,-,●,○
车载空气净化器,●,●,-,●,●,●,●,●
车载智能系统,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车机系统存储(GB),-,,-,-,,-,-,-
车机系统内存(GB),-,,-,-,,-,-,-
车机智能芯片,,,,,,-,-,-
车型名称,迈腾 2024款 380TSI DSG尊贵版,迈腾 2024款 380TSI DSG至尊版,迈腾 2024款 300TSI DSG尊享版,迈腾 2024款  300TSI DSG尊享版显眼包,迈腾 2024款  380TSI DSG尊贵版大迈包,迈腾 2025款 众享款 280TSI DSG舒适型,迈腾 2025款 众享款 330TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG豪华型
车前雾灯,-,-,-,-,-,,,
车内环境氛围灯,,,-,,,-,,-
车内摄像头数量,-,,-,-,,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音连续识别,●,●,●,●,●,-,-,-
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,-,-,-
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,-,-,-
触摸式阅读灯,●,●,●,●,●,-,-,-
被动行人保护,-,●,-,-,●,-,-,-
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,-,●,●,-,○,-
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,-,●,-,-,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●
自动变道辅助,-,●,-,-,○,-,-,-
膝部气囊,-,-,-,-,-,-,,-
能量回收系统,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铝合金,铝合金,铸铁,铝合金,铸铁,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合
第二排座椅调节,-,,-,-,,-,-,-
第二排座椅电动调节,-,●,-,-,○,-,-,-
第二排座椅功能,-,,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
空气质量监测,●,●,-,●,●,-,●,●
离去角(°),14,14,14,14,14,14,14,14
疲劳驾驶提示,-,●,-,-,●,●,●,●
电动座椅记忆功能,-,,-,-,-,-,,-
电动后备厢,○,●,-,○,●,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
灯光特色功能,-,,-,-,,-,,-
温度分区控制,●,●,●,●,●,-,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),69,69,69,69,69,66,66,66
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),210,210,210,210,210,210,210,210
最大马力(Ps),220,220,160,160,220,150,186,150
最大满载质量(kg),2130,2130,2030,2030,2130,1920,2030,1920
最大扭矩转速(rpm),1600-4300,1600-4300,1750-4000,1750-4000,1600-4300,1750-3000,1600-4050,1750-3000
最大扭矩(N·m)_y,350,350,250,250,350,250,320,250
最大扭矩(N·m)_x,350,350,250,250,350,250,320,250
最大功率转速(rpm),4900-6700,4900-6700,5500,5500,4900-6700,5000-6000,4150-6000,5000-6000
最大功率(kW)_y,162,162,118,118,162,110,137,110
最大功率(kW)_x,162,162,118,118,162,110,137,110
最大净功率(kW),162,162,118,118,162,110,137,110
无钥匙进入功能,,,,,,-,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘离手检测,-,-,-,-,-,-,●,○
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,●,●,●
方向盘加热,-,○,-,-,-,-,●,○
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),1649,1684,1544,1583,1684,1452,1559,1452
摄像头数量,,,,,,,,
接近角(°),13,13,13,13,13,16,16,16
排量(mL),1984,1984,1498,1498,1984,1395,1984,1395
换挡形式,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,
扬声器品牌名称,-,,-,-,,-,-,-
手机无线充电功能,,,-,,,,-,
手机无线充电功率,,,-,,,-,-,-
手机互联/映射,,,,,,,,
手机APP远程功能,,,,,,,,
感应雨刷功能,,,,,,-,,
感应后备厢,-,●,-,-,-,-,-,-
座椅材质,,,,,,,,
座位数(个),,,,,,,,
应用商店,●,●,●,●,●,-,-,-
并线辅助,●,●,-,●,●,-,○,○
巡航系统,,,,,,,,
导航路况信息显示,●,●,●,●,●,○,●,○
宽度(mm),1854,1854,1854,1854,1854,1832,1832,1832
官方0-100km/h加速(s),7.3,7.4,9.1,9.1,7.4,9.4,8.9,9.4
安全带未系提醒,,,,,,,,
天窗类型,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
备胎放置方式,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-
后轮距(mm),1572,1572,1572,1572,1572,1570,1570,1570
后轮胎规格,,,,,,,,
后方碰撞预警,-,●,-,-,●,-,-,-
后排独立空调,-,●,-,-,●,-,●,●
后排杯架,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),520,508,520,520,520,533,533,533
后制动器类型,,,,,,,,
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡干式双离合
发动机电子防盗,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,DTJ,DTJ,DSV,DSV,DTJ,EA211-DLE,EA888-DTH,EA211-DLE
发动机启停技术,●,●,●,●,●,●,●,●
发动机,2.0T 220马力 L4,2.0T 220马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 220马力 L4,1.4T 150马力 L4,2.0T 186马力 L4,1.4T 150马力 L4
厂商指导价(元),20.99万,24.69万,17.99万,18.99万,22.59万,17.49万,20.69万,17.69万
厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
卫星导航系统,●,●,●,●,●,○,●,○
助力类型,,,,,,,,
副驾驶位后排可调节按钮,●,●,-,●,●,-,●,●
副驾娱乐屏尺寸,-,,-,-,,-,-,-
副座椅调节方式,,,,,,,,
前轮距(mm),1586,1586,1586,1586,1586,1584,1584,1584
前轮胎规格,,,,,,,,
前方碰撞预警,●,●,-,●,●,○,●,○
前方感知摄像头,,,-,,,-,,
前排座椅功能,,,-,,,-,,
前排中间气囊,-,●,-,-,●,-,-,-
前悬架类型,,,,,,,,
前大灯雨雾模式,●,●,●,●,●,-,-,-
前制动器类型,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
内置行车记录仪,●,●,-,●,●,-,-,-
