Feature,1015103,1015104,1015105,1015106,1015108,1015112,1015120,1015175,1015176,1015177,1015178,1015179,1015180,1015181,1015182,1015183,1015184,1015185,1015186,1015187,1015188,1015189,1015190,1015191,1015192,1015193,1015194,1016256,1016257,1016381,1016382,1016383,1016384,1016385,1016386,1018079,1018080,1018081
高度(mm),3150,3150,3150,3150,3150,2780,2400,3215,2360,3150,2395,2395,2395,3215,2780,2780,2780,2350,2360,3215,2780,2780,2360,2885,2320,2440,2975,3150,3215,3485,3485,3345,3345,3345,3345,3150,2780,2315
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*3150,5995*2180*2780,5995*2020*2400,5995*2510*3215,5995*2380*2360,5995*2180*3150,5995*2180*2395,5995*2180*2395,5995*2180*2395,5995*2360*3215,5995*2380*2780,5995*2380*2780,5995*2380*2780,5995*2380*2350,5995*2380*2360,5995*2360*3215,5995*2380*2780,5995*2020*2780,5995*2180*2360,5995*2380*2885,5995*1970*2320,5995*2380*2440,5995*2180*2975,5995*2180*3150,5995*2360*3215,5995*2100*3485,5995*2100*3485,5995*2180*3345,5995*2180*3345,5995*2360*3345,5995*2360*3345,5995*2180*3150,5995*2180*2780,5995*2180*2315
钥匙类型,,,,,,,,-,,,,,,,,,,,,,,-,-,-,,-,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
轮圈材质,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
转向辅助灯,●,●,●,●,●,●,●,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,-,-,-,-,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
