Feature,60976,63170,63171,63172,63173,63174,63175,63176,63177,67629,67630,67631,68962,68963,68964
高度(mm),1435,1435,1435,1455,1455,1435,1435,1435,1435,1435,1455,1435,1435,1435,1455
驾驶辅助影像,,-,,,,-,,,,-,,,-,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,-,-,-,-,-,-,-,-,单电机,单电机,单电机,-
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635
长*宽*高(mm),4635*1780*1435,4635*1780*1435,4635*1780*1435,4635*1780*1455,4635*1780*1455,4635*1780*1435,4635*1780*1435,4635*1780*1435,4635*1780*1435,4635*1780*1435,4635*1780*1455,4635*1780*1435,4635*1780*1435,4635*1780*1435,4635*1780*1455
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,-,●,●,●,●,●,-,●,●,●,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
