Feature,1010426,1010427,1010428,1010429,1010430,1010431,1010433,1010434,1010435,1010436,1010437,1010438,1010439,1010440,1010441,1010442,1010452,1010453,1010454,1010455,1010456,1010457,1010458,1010459,1010460,1010461,1010462,1010463,1010464,1010465,1010466,1010467,1010485,1010486,1010487,1010488,1010489,1010490,1010491,1010492,1010497,1010498,1010499,1010500,1010501,1010502,1011922,1011923,1011924,1011925,1011926,1011927,1011928,1011929,1011930,1011931,1011932,1011933,1011934,1011935,1011936,1011937,1011938,1011939,1011940,1012558,1012559,1012560,1012561,1014198,1014199,1014200,1014201,1014202,1014203,1014204,1014205,1014206,1014207,1014208,1014209,1014210,1014211,1014212,1014213,1014214,1014215
高度(mm),2726,2726,2307,2307,2676,2676,2735,2735,2735,2735,2715,2715,2715,2715,2710,2654,2841,2841,2841,2841,2841,2841,2755,2755,2755,2755,2735,2735,2320,2320,2688,2688,2400,2422,2400,2230,2400,2422,2400,2230,2365,2365,2370,2365,2365,2370,2307,2307,2676,2676,2726,2726,2726,2307,2676,2307,2676,2710,2654,2735,2735,2320,2320,2688,2688,2730,2730,2715,2715,2356,2356,2356,2356,2356,2365,2370,2365,2755,2365,2735,2755,2730,2730,2356,2726,2356,2726
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5495,5495,5151,5151,5151,5151,6980,6980,6980,6980,5995,5995,5995,5995,5570,5050,6995,6995,6995,6995,6995,6995,5995,5995,5995,5995,5680,5680,5151,5151,5151,5151,6995,6995,5995,7403,6995,6995,5995,7403,5075,5995,5995,5075,5995,5995,5151,5151,5151,5151,5495,5495,5495,5151,5151,5151,5151,5570,5050,5680,5680,5151,5151,5151,5151,5995,5995,5995,5995,5495,5495,5495,5495,5495,5995,5995,5995,5995,5995,5680,5995,5995,5995,5495,5495,5495,5495
长*宽*高(mm),5495×2040×2726,5495×2040×2726,5151×2011×2307,5151×2011×2307,5151×2011×2676,5151×2011×2676,6980×2022×2735,6980×2022×2735,6980×2022×2735,6980×2022×2735,5995×2040×2715,5995×2040×2715,5995×2040×2715,5995×2040×2715,5570×2040×2710,5050×2011×2654,6995×2172×2841,6995×2172×2841,6995×2172×2841,6995×2172×2841,6995×2172×2841,6995×2172×2841,5995×2011×2755,5995×2011×2755,5995×2011×2755,5995×2011×2755,5680×2011×2735,5680×2011×2735,5151×2011×2320,5151×2011×2320,5151×2011×2688,5151×2011×2688,6995×2235×2400,6995×2235×2422,5995×2235×2400,7403×2154×2230,6995×2235×2400,6995×2235×2422,5995×2235×2400,7403×2154×2230,5075×2150×2365,5995×2150×2365,5995×2155×2370,5075×2150×2365,5995×2150×2365,5995×2155×2370,5151×2011×2307,5151×2011×2307,5151×2011×2676,5151×2011×2676,5495×2040×2726,5495×2040×2726,5495×2040×2726,5151×2011×2307,5151×2011×2676,5151×2011×2307,5151×2011×2676,5570×2040×2710,5050×2011×2654,5680×2011×2735,5680×2011×2735,5151×2011×2320,5151×2011×2320,5151×2011×2688,5151×2011×2688,5995×2040×2730,5995×2040×2730,5995×2040×2715,5995×2040×2715,5495×2040×2356,5495×2040×2356,5495×2040×2356,5495×2040×2356,5495×2011×2356,5995×2150×2365,5995×2155×2370,5995×2150×2365,5995×2011×2755,5995×2150×2365,5680×2011×2735,5995×2011×2755,5995×2040×2730,5995×2040×2730,5495×2011×2356,5495×2040×2726,5495×2011×2356,5495×2040×2726
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
